family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
ag,graphs/ag/ag2-11,253,1452,PI_DIST,1,42,2,2,132,126.50,428,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,428,169.9,,,,PI,false,AUTO,253,NONE,175692,146531,CADICAL,
ag,graphs/ag/ag2-13,351,2366,PI_DIST,1,42,2,2,182,175.50,427,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,427,199.2,,,,PI,false,AUTO,351,NONE,399854,342901,CADICAL,
ag,graphs/ag/ag2-16,528,4352,PI_DIST,1,42,2,2,272,264.00,589,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,589,274.3,,,,PI,false,AUTO,528,NONE,1114112,983296,CADICAL,
ag,graphs/ag/ag2-17,595,5202,PI_DIST,1,42,2,2,306,297.50,154,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,154,433.7,,,,PI,false,AUTO,595,NONE,1503378,1336625,CADICAL,
ag,graphs/ag/ag2-19,741,7220,PI_DIST,1,42,2,2,380,370.50,212,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,212,522.3,,,,PI,false,AUTO,741,NONE,2606420,2346139,CADICAL,
ag,graphs/ag/ag2-2,10,12,PI_DIST,1,42,2,2,6,5.00,5,52,20,144,1008,8,6,21,523.5,2,40,0,2,0,0,18,2,2,200000,1,1.00,2,0,2,,,CERTIFIED,44,522.3,,,,PI,false,AUTO,10,GLOBAL,144,,CADICAL,
ag,graphs/ag/ag2-23,1081,12696,PI_DIST,1,42,2,2,552,540.50,424,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,424,808.4,,,,PI,false,AUTO,1081,NONE,6716184,6157031,CADICAL,
ag,graphs/ag/ag2-25,1275,16250,PI_DIST,1,42,2,2,650,637.50,528,,,,,,,,,,,,,,,,,,,1,,,,2,,,SKIPPED_TOO_LARGE,528,900.4,,,,PI,false,AUTO,1275,NONE,10156250,9375625,CADICAL,
ag,graphs/ag/ag2-3,21,36,PI_DIST,1,42,2,2,12,10.50,3,225,42,2592,1152,8,6,4,900.4,2,202,0,2,0,0,12,0,0,200000,1,1.00,2,0,2,,,CERTIFIED,19,900.4,,,,PI,false,AUTO,21,GLOBAL,2592,,CADICAL,
ag,graphs/ag/ag2-4,36,80,PI_DIST,1,42,2,2,20,18.00,4,656,72,19200,0,8,6,16,900.4,2,618,0,2,0,0,23,1,1,200000,1,1.00,2,0,2,,,CERTIFIED,43,900.4,,,,PI,false,AUTO,36,GLOBAL,19200,,CADICAL,
ag,graphs/ag/ag2-5,55,150,PI_DIST,1,42,2,2,30,27.50,6,1525,110,90000,0,8,6,43,900.4,3,1467,0,3,0,0,53,1,1,200000,1,1.00,3,0,2,,,CERTIFIED,102,903.8,,,,PI,false,AUTO,55,GLOBAL,90000,,CADICAL,
ag,graphs/ag/ag2-7,105,392,PI_DIST,1,42,2,2,56,52.50,10,5537,210,19208,0,8,6,85,921.1,2,5430,0,2,0,0,3088,1000,1000,200000,1,1.00,2,0,2,,,CERTIFIED,3183,986.8,,,,PI,false,AUTO,105,GLOBAL,19208,,CADICAL,
ag,graphs/ag/ag2-8,136,576,PI_DIST,1,42,2,2,72,68.00,17,9280,272,36864,0,8,6,209,986.8,2,9142,0,2,0,0,12912,1042,1000,200000,1,1.00,2,0,2,,,CERTIFIED,13138,1111.8,,,,PI,false,AUTO,136,GLOBAL,36864,,CADICAL,
ag,graphs/ag/ag2-9,171,810,PI_DIST,1,42,2,2,90,85.50,13,14661,342,65610,0,8,6,349,1111.8,5,14485,0,5,0,0,113263,1200,1000,200000,1,1.00,5,0,2,,,CERTIFIED,113625,1535.4,,,,PI,false,AUTO,171,GLOBAL,65610,,CADICAL,
