family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cfi,graphs/cfi/cfi-100,1000,1500,PI_DIST,1,42,1,400,4,2.50,5720,2800,2000,5400,320,8,6,87,427.5,20,1780,0,20,0,0,85,2,1,200000,1,1.00,20,0,400,,,CERTIFIED,5892,426.4,1,850,400,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,5400,,CADICAL,
cfi,graphs/cfi/cfi-102,1020,1530,PI_DIST,1,42,1,408,4,2.50,2561,2856,2040,5508,320,8,6,18,572.2,28,1808,0,28,0,0,46,1,0,200000,1,1.00,28,0,408,,,CERTIFIED,2625,571.2,1,867,408,PI_TO_ORIGINAL,true,AUTO,1020,GLOBAL,5508,,CADICAL,
cfi,graphs/cfi/cfi-104,1040,1560,PI_DIST,1,42,1,416,4,2.50,2637,2912,2080,5616,320,8,6,16,663.5,27,1845,0,27,0,0,46,1,0,200000,1,1.00,27,0,416,,,CERTIFIED,2699,662.8,1,884,416,PI_TO_ORIGINAL,true,AUTO,1040,GLOBAL,5616,,CADICAL,
cfi,graphs/cfi/cfi-106,1060,1590,PI_DIST,1,42,1,424,4,2.50,2721,2968,2120,5724,320,8,6,16,668.3,27,1881,0,27,0,0,36,1,0,200000,1,1.00,27,0,424,,,CERTIFIED,2773,667.5,1,901,424,PI_TO_ORIGINAL,true,AUTO,1060,GLOBAL,5724,,CADICAL,
cfi,graphs/cfi/cfi-108,1080,1620,PI_DIST,1,42,1,432,4,2.50,2834,3024,2160,5832,320,8,6,17,732.9,20,1924,0,20,0,0,37,1,0,200000,1,1.00,20,0,432,,,CERTIFIED,2888,731.8,1,918,432,PI_TO_ORIGINAL,true,AUTO,1080,GLOBAL,5832,,CADICAL,
cfi,graphs/cfi/cfi-110,1100,1650,PI_DIST,1,42,1,440,4,2.50,2973,3080,2200,5940,320,8,6,19,753.1,34,1946,0,34,0,0,46,1,0,200000,1,1.00,34,0,440,,,CERTIFIED,3038,752.3,1,935,440,PI_TO_ORIGINAL,true,AUTO,1100,GLOBAL,5940,,CADICAL,
cfi,graphs/cfi/cfi-112,1120,1680,PI_DIST,1,42,1,448,4,2.50,3083,3136,2240,6048,320,8,6,17,752.3,18,1998,0,18,0,0,36,1,0,200000,1,1.00,18,0,448,,,CERTIFIED,3136,752.3,1,952,448,PI_TO_ORIGINAL,true,AUTO,1120,GLOBAL,6048,,CADICAL,
cfi,graphs/cfi/cfi-114,1140,1710,PI_DIST,1,42,1,456,4,2.50,2866,3192,2280,6156,320,8,6,18,767.3,18,2034,0,18,0,0,41,1,1,200000,1,1.00,18,0,456,,,CERTIFIED,2925,766.5,1,969,456,PI_TO_ORIGINAL,true,AUTO,1140,GLOBAL,6156,,CADICAL,
cfi,graphs/cfi/cfi-116,1160,1740,PI_DIST,1,42,1,464,4,2.50,2731,3248,2320,6264,320,8,6,14,766.5,29,2059,0,29,0,0,42,1,0,200000,1,1.00,29,0,464,,,CERTIFIED,2787,766.5,1,986,464,PI_TO_ORIGINAL,true,AUTO,1160,GLOBAL,6264,,CADICAL,
cfi,graphs/cfi/cfi-118,1180,1770,PI_DIST,1,42,1,472,4,2.50,2364,3304,2360,6372,320,8,6,14,776.6,33,2091,0,33,0,0,42,1,0,200000,1,1.00,33,0,472,,,CERTIFIED,2420,775.4,1,1003,472,PI_TO_ORIGINAL,true,AUTO,1180,GLOBAL,6372,,CADICAL,
