family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi,graphs/cfi/cfi-100,1000,1500,1000,400,9,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-102,1020,1530,1020,408,9,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-104,1040,1560,1040,416,8,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-106,1060,1590,1060,424,11,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-108,1080,1620,1080,432,11,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-110,1100,1650,1100,440,10,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-112,1120,1680,1120,448,10,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-114,1140,1710,1140,456,10,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-116,1160,1740,1160,464,10,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-118,1180,1770,1180,472,11,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-120,1200,1800,1200,480,10,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-122,1220,1830,1220,488,11,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-124,1240,1860,1240,496,11,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-126,1260,1890,1260,504,12,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-128,1280,1920,1280,512,12,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-130,1300,1950,1300,520,12,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-132,1320,1980,1320,522,13,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-134,1340,2010,1340,536,13,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-136,1360,2040,1360,544,13,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-138,1380,2070,1380,552,13,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-140,1400,2100,1400,560,12,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-142,1420,2130,1420,568,13,false,OK,traces,4096,3600,false
cfi,graphs/cfi/cfi-144,1440,2160,1440,576,13,false,OK,traces,4096,3600,false
