family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cmz,graphs/cmz/cmz-10,240,380,PI_DIST,1,42,8,8,40,30.00,982,8000,480,106800,0,8,6,181,226.2,4,7756,0,4,0,0,183,9,5,200000,1,1.00,4,0,8,,,CERTIFIED,1346,226.5,8,19,8,WL1_ORIGINAL,true,AUTO,240,GLOBAL,106800,,CADICAL,
cmz,graphs/cmz/cmz-11,264,418,PI_DIST,1,42,8,8,44,33.00,788,9680,528,141812,0,8,6,144,280.8,4,9412,0,4,0,0,214,11,4,200000,1,1.00,4,0,8,,,CERTIFIED,1146,279.9,8,19,8,WL1_ORIGINAL,true,AUTO,264,GLOBAL,141812,,CADICAL,
cmz,graphs/cmz/cmz-12,288,456,PI_DIST,1,42,8,8,48,36.00,478,11520,576,80064,0,8,6,132,319.7,4,11228,0,4,0,0,391,142,62,200000,1,1.00,4,0,8,,,CERTIFIED,1001,361.3,8,19,8,WL1_ORIGINAL,true,AUTO,288,GLOBAL,80064,,CADICAL,
cmz,graphs/cmz/cmz-13,312,494,PI_DIST,1,42,8,8,52,39.00,245,13520,624,100724,0,8,6,173,361.3,4,13204,0,4,0,0,1256,829,203,200000,1,1.00,4,0,8,,,CERTIFIED,1674,428.4,8,19,8,WL1_ORIGINAL,true,AUTO,312,GLOBAL,100724,,CADICAL,
cmz,graphs/cmz/cmz-14,336,532,PI_DIST,1,42,8,8,56,42.00,239,15680,672,124656,0,8,6,215,428.4,4,15340,0,4,0,0,2301,1001,275,200000,1,1.00,4,0,8,,,CERTIFIED,2755,428.4,8,19,8,WL1_ORIGINAL,true,AUTO,336,GLOBAL,124656,,CADICAL,
cmz,graphs/cmz/cmz-15,360,570,PI_DIST,1,42,8,8,60,45.00,274,18000,720,152100,0,8,6,264,428.4,4,17636,0,4,0,0,1418,825,310,200000,1,1.00,4,0,8,,,CERTIFIED,1956,458.8,8,19,8,WL1_ORIGINAL,true,AUTO,360,GLOBAL,152100,,CADICAL,
cmz,graphs/cmz/cmz-16,384,608,PI_DIST,1,42,8,8,64,48.00,298,20480,768,183296,0,8,6,305,458.8,4,20092,0,4,0,0,2127,1055,137,200000,1,1.00,4,0,8,,,CERTIFIED,2730,543.1,8,19,8,WL1_ORIGINAL,true,AUTO,384,GLOBAL,183296,,CADICAL,
cmz,graphs/cmz/cmz-17,408,646,PI_DIST,1,42,8,8,68,51.00,324,23120,816,33524,0,8,6,362,543.1,4,22708,0,4,0,0,2153,1068,184,200000,1,1.00,4,0,8,,,CERTIFIED,2839,580.2,8,19,8,WL1_ORIGINAL,true,AUTO,408,GLOBAL,33524,,CADICAL,
cmz,graphs/cmz/cmz-18,432,684,PI_DIST,1,42,8,8,72,54.00,362,25920,864,37584,0,8,6,412,580.2,4,25484,0,4,0,0,4274,1063,473,200000,1,1.00,4,0,8,,,CERTIFIED,5048,708.6,8,19,8,WL1_ORIGINAL,true,AUTO,432,GLOBAL,37584,,CADICAL,
cmz,graphs/cmz/cmz-19,456,722,PI_DIST,1,42,8,8,76,57.00,386,28880,912,41876,0,8,6,489,708.6,4,28420,0,4,0,0,7146,1132,1000,200000,1,1.00,4,0,8,,,CERTIFIED,8021,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,456,GLOBAL,41876,,CADICAL,
cmz,graphs/cmz/cmz-20,480,760,PI_DIST,1,42,8,8,80,60.00,419,,,,,,,,,18,31502,0,18,0,0,277,14,6,200000,1,,18,0,8,,,CERTIFIED,696,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,480,PER_QUERY,46400,4388,CADICAL,
cmz,graphs/cmz/cmz-21,504,798,PI_DIST,1,42,8,8,84,63.00,473,,,,,,,,,18,34758,0,18,0,0,230,10,6,200000,1,,18,0,8,,,CERTIFIED,703,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,504,PER_QUERY,51156,4616,CADICAL,
cmz,graphs/cmz/cmz-22,528,836,PI_DIST,1,42,8,8,88,66.00,514,,,,,,,,,18,38174,0,18,0,0,235,12,6,200000,1,,18,0,8,,,CERTIFIED,749,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,528,PER_QUERY,56144,4844,CADICAL,
cmz,graphs/cmz/cmz-23,552,874,PI_DIST,1,42,8,8,92,69.00,552,,,,,,,,,18,41750,0,18,0,0,228,10,6,200000,1,,18,0,8,,,CERTIFIED,780,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,552,PER_QUERY,61364,5072,CADICAL,
cmz,graphs/cmz/cmz-24,576,912,PI_DIST,1,42,8,8,96,72.00,659,,,,,,,,,18,45486,0,18,0,0,234,9,6,200000,1,,18,0,8,,,CERTIFIED,893,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,576,PER_QUERY,66816,5300,CADICAL,
cmz,graphs/cmz/cmz-25,600,950,PI_DIST,1,42,8,8,100,75.00,690,,,,,,,,,18,49382,0,18,0,0,227,7,5,200000,1,,18,0,8,,,CERTIFIED,917,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,600,PER_QUERY,72500,5528,CADICAL,
cmz,graphs/cmz/cmz-26,624,988,PI_DIST,1,42,8,8,104,78.00,730,,,,,,,,,18,53438,0,18,0,0,251,14,6,200000,1,,18,0,8,,,CERTIFIED,981,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,624,PER_QUERY,78416,5756,CADICAL,
cmz,graphs/cmz/cmz-27,648,1026,PI_DIST,1,42,8,8,108,81.00,811,,,,,,,,,18,57654,0,18,0,0,248,7,6,200000,1,,18,0,8,,,CERTIFIED,1059,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,648,PER_QUERY,84564,5984,CADICAL,
cmz,graphs/cmz/cmz-28,672,1064,PI_DIST,1,42,8,8,112,84.00,855,,,,,,,,,18,62030,0,18,0,0,256,8,6,200000,1,,18,0,8,,,CERTIFIED,1111,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,672,PER_QUERY,90944,6212,CADICAL,
cmz,graphs/cmz/cmz-29,696,1102,PI_DIST,1,42,8,8,116,87.00,904,,,,,,,,,18,66566,0,18,0,0,264,7,6,200000,1,,18,0,8,,,CERTIFIED,1168,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,696,PER_QUERY,97556,6440,CADICAL,
cmz,graphs/cmz/cmz-30,720,1140,PI_DIST,1,42,8,8,120,90.00,933,,,,,,,,,18,71262,0,18,0,0,270,9,6,200000,1,,18,0,8,,,CERTIFIED,1203,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,720,PER_QUERY,104400,6668,CADICAL,
cmz,graphs/cmz/cmz-31,744,1178,PI_DIST,1,42,8,8,124,93.00,1047,,,,,,,,,18,76118,0,18,0,0,284,8,7,200000,1,,18,0,8,,,CERTIFIED,1331,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,744,PER_QUERY,111476,6896,CADICAL,
cmz,graphs/cmz/cmz-32,768,1216,PI_DIST,1,42,8,8,128,96.00,1071,,,,,,,,,18,81134,0,18,0,0,281,7,6,200000,1,,18,0,8,,,CERTIFIED,1352,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,768,PER_QUERY,118784,7124,CADICAL,
cmz,graphs/cmz/cmz-33,792,1254,PI_DIST,1,42,8,8,132,99.00,1147,,,,,,,,,18,86310,0,18,0,0,294,12,6,200000,1,,18,0,8,,,CERTIFIED,1441,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,792,PER_QUERY,126324,7352,CADICAL,
cmz,graphs/cmz/cmz-34,816,1292,PI_DIST,1,42,8,8,136,102.00,1214,,,,,,,,,18,91646,0,18,0,0,303,8,7,200000,1,,18,0,8,,,CERTIFIED,1517,751.0,8,19,8,WL1_ORIGINAL,true,AUTO,816,PER_QUERY,134096,7580,CADICAL,
