family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cmz,graphs/cmz/cmz-10,240,380,240,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-11,264,418,264,8,4,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-12,288,456,288,8,5,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-13,312,494,312,8,3,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-14,336,532,336,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-15,360,570,360,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-16,384,608,384,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-17,408,646,408,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-18,432,684,432,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-19,456,722,456,8,7,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-20,480,760,480,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-21,504,798,504,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-22,528,836,528,8,5,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-23,552,874,552,8,6,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-24,576,912,576,8,8,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-25,600,950,600,8,11,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-26,624,988,624,8,7,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-27,648,1026,648,8,8,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-28,672,1064,672,8,7,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-29,696,1102,696,8,8,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-30,720,1140,720,8,11,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-31,744,1178,744,8,8,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-32,768,1216,768,8,8,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-33,792,1254,792,8,9,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-34,816,1292,816,8,13,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-35,840,1330,840,8,15,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-36,864,1368,864,8,13,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-37,888,1406,888,8,13,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-38,912,1444,912,8,10,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-39,936,1482,936,8,11,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-40,960,1520,960,8,11,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-41,984,1558,984,8,12,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-42,1008,1596,1008,8,21,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-43,1032,1634,1032,8,11,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-44,1056,1672,1056,8,14,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-45,1080,1710,1080,8,16,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-46,1104,1748,1104,8,23,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-47,1128,1786,1128,8,13,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-48,1152,1824,1152,8,16,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-49,1176,1862,1176,8,18,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-5,120,190,120,8,3,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-50,1200,1900,1200,8,28,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-6,144,228,144,8,3,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-7,168,266,168,8,4,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-8,192,304,192,8,5,false,OK,traces,4096,3600,false
cmz,graphs/cmz/cmz-9,216,342,216,8,5,false,OK,traces,4096,3600,false
