family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-01-1,3780,18144,PI_DIST,1,42,2,588,9,6.43,10287,29484,7560,163296,3552,8,6,526,766.4,338,13606,11760,2,336,0,408138,75702,1000,180000,2,1.30,2,0,924,,,CERTIFIED,418951,904.6,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-01-2,3780,18144,PI_DIST,1,42,2,588,9,6.43,8437,29484,7560,163296,3552,8,6,355,996.1,1009,7559,17136,1,1008,0,1216917,44915,1000,180000,2,1.30,1,0,1260,,,CERTIFIED,1225709,1007.4,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-02-1,3780,18144,PI_DIST,1,42,2,588,9,6.43,9290,29484,7560,163296,3552,8,6,345,1063.1,338,13606,11760,2,336,0,1175822,2539,1001,180000,2,1.01,2,0,924,,,CERTIFIED,1185457,1117.0,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-02-2,3780,18144,PI_DIST,1,42,2,588,9,6.43,8700,29484,7560,163296,3552,8,6,343,1165.5,1009,7559,17136,1,1008,0,1703236,11222,1001,180000,2,1.07,1,0,1260,,,CERTIFIED,1712279,1240.2,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-03-1,3780,18144,PI_DIST,1,42,2,588,9,6.43,8519,29484,7560,163296,3552,8,6,385,1478.3,338,13606,11760,2,336,0,662106,29504,1000,180000,2,1.16,2,0,924,,,CERTIFIED,671010,1478.3,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-03-2,3780,18144,PI_DIST,1,42,2,588,9,6.43,8387,29484,7560,163296,3552,8,6,368,1538.2,1009,7559,17136,1,1008,0,422569,14686,13,180000,2,1.30,1,0,1260,,,CERTIFIED,431324,1538.2,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3780-04-2,3780,18144,PI_DIST,1,42,2,588,9,6.43,8030,29484,7560,163296,3552,8,6,270,1538.2,1009,7559,17136,1,1008,0,1264725,8131,1001,180000,2,1.05,1,0,1260,,,CERTIFIED,1273025,1538.2,,,,PI,false,AUTO,3780,GLOBAL,163296,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3960-01-1,3960,19008,PI_DIST,1,42,2,616,9,6.43,9620,30888,7920,171072,3552,8,6,359,1538.2,354,14254,12320,2,352,0,603056,92403,1000,180000,2,1.30,2,0,968,,,CERTIFIED,613035,1538.2,,,,PI,false,AUTO,3960,GLOBAL,171072,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3960-01-2,3960,19008,PI_DIST,1,42,2,616,9,6.43,9700,30888,7920,171072,3552,8,6,385,1538.2,1057,7919,17952,1,1056,0,719703,17230,31,180000,2,1.23,1,0,1320,,,CERTIFIED,729788,1538.2,,,,PI,false,AUTO,3960,GLOBAL,171072,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3960-02-1,3960,19008,PI_DIST,1,42,2,616,9,6.43,10453,30888,7920,171072,3552,8,6,385,1538.2,354,14254,12320,2,352,0,262399,16522,1000,180000,2,1.11,2,0,968,,,CERTIFIED,273237,1538.2,,,,PI,false,AUTO,3960,GLOBAL,171072,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3960-02-2,3960,19008,PI_DIST,1,42,2,616,9,6.43,9630,30888,7920,171072,3552,8,6,361,1538.2,1057,7919,17952,1,1056,0,627960,9771,1000,180000,2,1.09,1,0,1320,,,CERTIFIED,637951,1538.2,,,,PI,false,AUTO,3960,GLOBAL,171072,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3960-03-1,3960,19008,PI_DIST,1,42,2,616,9,6.43,9457,30888,7920,171072,3552,8,6,362,1538.2,354,14254,12320,2,352,0,1584461,93315,1001,180000,2,1.33,2,0,968,,,CERTIFIED,1594280,1538.2,,,,PI,false,AUTO,3960,GLOBAL,171072,
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-3960-03-2,3960,19008,PI_DIST,1,42,2,616,9,6.43,9336,30888,7920,171072,3552,8,6,356,1538.2,1057,7919,17952,1,1056,0,2028499,98793,1000,180000,2,1.54,1,0,1320,,,CERTIFIED,2038191,1538.2,,,,PI,false,AUTO,3960,GLOBAL,171072,
