family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-01-1,180,864,PI_DIST,1,42,2,44,6,4.09,361,828,360,4320,1404,8,6,45,133.1,4,644,0,4,0,0,106,2,1,40000,4,1.17,4,0,44,,,CERTIFIED,512,156.0
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-01-2,180,864,PI_DIST,1,42,2,28,9,6.43,277,1404,360,7776,3552,8,6,11,172.8,60,356,808,4,56,0,91,1,0,40000,4,1.01,4,0,60,,,CERTIFIED,379,188.0
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-02-1,180,864,PI_DIST,1,42,2,42,9,4.29,199,900,360,4752,1404,8,6,5,198.5,11,640,69,8,3,0,17,1,0,40000,4,1.07,8,0,44,,,CERTIFIED,221,202.0
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-02-2,180,864,PI_DIST,1,42,2,28,9,6.43,148,1404,360,7776,3552,8,6,7,224.1,54,356,814,4,50,0,27,2,0,40000,4,1.09,4,0,60,,,CERTIFIED,182,224.2
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-03-1,180,864,PI_DIST,1,42,2,41,9,4.39,65,936,360,4968,1608,8,6,5,225.8,14,640,102,8,6,0,30,1,0,40000,4,1.06,8,0,44,,,CERTIFIED,100,233.8
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-03-2,180,864,PI_DIST,1,42,2,28,9,6.43,80,1404,360,7776,3552,8,6,7,241.2,54,356,814,4,50,0,27,2,0,40000,4,1.10,4,0,60,,,CERTIFIED,114,241.3
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-04-1,180,864,PI_DIST,1,42,2,42,9,4.29,88,900,360,4752,1752,8,6,5,244.7,9,641,70,7,2,0,17,1,1,40000,4,1.11,7,0,44,,,CERTIFIED,110,244.9
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-04-2,180,864,PI_DIST,1,42,2,28,9,6.43,84,1404,360,7776,3552,8,6,8,245.6,58,356,810,4,54,0,37,2,1,40000,4,1.02,4,0,60,,,CERTIFIED,129,261.1
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-01-1,360,1728,PI_DIST,1,42,2,56,9,6.43,216,2808,720,15552,3552,8,6,16,275.3,45,1288,1115,8,37,0,79,11,3,40000,4,1.01,8,0,88,,,CERTIFIED,311,284.7
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-01-2,360,1728,PI_DIST,1,42,2,56,9,6.43,120,2808,720,15552,3552,8,6,15,286.1,103,716,1629,4,99,0,96,6,2,40000,4,1.01,4,0,120,,,CERTIFIED,231,290.6
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-02-1,360,1728,PI_DIST,1,42,2,55,18,6.55,1194,2970,720,16524,3552,8,6,17,358.5,42,1376,1192,10,32,0,75,7,3,40000,4,1.04,10,0,86,,,CERTIFIED,1286,358.0
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-02-2,360,1728,PI_DIST,1,42,2,55,18,6.55,112,2970,720,16524,3552,8,6,20,359.2,100,769,1741,5,95,0,193,7,3,40000,4,1.00,5,0,117,,,CERTIFIED,325,359.2
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-03-1,360,1728,PI_DIST,1,42,2,55,18,6.55,110,2970,720,16524,3552,8,6,16,359.2,43,1376,1191,10,33,0,80,8,3,40000,4,1.05,10,0,86,,,CERTIFIED,206,359.2
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-03-2,360,1728,PI_DIST,1,42,2,55,18,6.55,104,2970,720,16524,3552,8,6,16,359.2,105,767,1738,7,98,0,146,9,3,40000,4,1.06,7,0,117,,,CERTIFIED,266,394.8
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-04-1,360,1728,PI_DIST,1,42,2,56,9,6.43,98,2808,720,15552,3552,8,6,18,408.2,42,1288,1118,8,34,0,72,6,3,40000,4,1.07,8,0,88,,,CERTIFIED,188,407.3
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-04-2,360,1728,PI_DIST,1,42,2,56,9,6.43,98,2808,720,15552,3552,8,6,15,408.2,104,716,1628,4,100,0,111,6,3,40000,4,1.02,4,0,120,,,CERTIFIED,224,407.3
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-01-1,540,2592,PI_DIST,1,42,2,83,18,6.51,252,4374,1080,24300,3552,8,6,27,410.1,58,2026,1750,8,50,0,154,14,5,40000,4,1.02,8,0,130,,,CERTIFIED,433,468.0
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-01-2,540,2592,PI_DIST,1,42,2,83,18,6.51,207,4374,1080,24300,3552,8,6,25,470.0,150,1129,2555,5,145,0,234,11,4,40000,4,1.03,5,0,177,,,CERTIFIED,466,470.2
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-02-1,540,2592,PI_DIST,1,42,2,84,9,6.43,205,4212,1080,23328,3552,8,6,24,470.0,60,1936,1676,8,52,0,139,12,6,40000,4,1.02,8,0,132,,,CERTIFIED,368,476.4
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-02-2,540,2592,PI_DIST,1,42,2,84,9,6.43,206,4212,1080,23328,3552,8,6,23,476.4,151,1076,2445,4,147,0,227,19,4,40000,4,1.03,4,0,180,,,CERTIFIED,456,476.5
