family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-01-1,180,864,180,44,17,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-01-2,180,864,180,60,5,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-02-1,180,864,180,44,5,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-02-2,180,864,180,60,5,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-03-1,180,864,180,44,4,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-03-2,180,864,180,60,3,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-04-1,180,864,180,44,4,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0180-04-2,180,864,180,60,4,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-01-1,360,1728,360,88,6,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-01-2,360,1728,360,120,5,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-02-1,360,1728,360,86,12,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-02-2,360,1728,360,117,13,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-03-1,360,1728,360,86,11,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-03-2,360,1728,360,117,13,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-04-1,360,1728,360,88,6,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0360-04-2,360,1728,360,120,6,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-01-1,540,2592,540,130,14,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-01-2,540,2592,540,177,24,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-02-1,540,2592,540,132,6,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-02-2,540,2592,540,180,6,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-03-1,540,2592,540,130,20,false,OK,traces,4096,3600,false
cfi-rigid-d3,graphs/cfi-rigid-d3/cfi-rigid-d3-0540-03-2,540,2592,540,177,22,false,OK,traces,4096,3600,false
