family,instance,n,m,fvs_size,seeded_size,fvs_queries,full_admissible_pairs,wl_cells,plain_wl_cells,true_orbits,gt_source,match,fvs_ms,sat_ms,wl_ms,total_ms
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0068-03-1,68,132,14,16,5,156,43,23,43,r2-sat.csv,true,11,68,2,85
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-1,72,144,14,16,8,168,72,24,72,r2-sat.csv,true,0,24,0,26
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-1,144,288,28,34,17,336,144,48,144,r2-sat.csv,true,2,81,1,86
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-01-1,216,432,43,50,25,504,216,72,216,r2-sat.csv,true,4,87,1,94
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-1,288,576,60,68,34,672,288,96,288,r2-sat.csv,true,2,197,2,203
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-01-1,360,720,74,88,48,840,360,120,360,r2-sat.csv,true,4,162,2,170
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-01-1,432,864,89,106,57,1008,432,144,432,r2-sat.csv,true,4,244,1,252
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-01-1,504,1008,103,122,61,1176,504,168,504,r2-sat.csv,true,5,385,2,395
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-01-1,576,1152,113,138,69,1344,576,192,576,r2-sat.csv,true,6,616,2,628
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-01-1,648,1296,133,166,83,1512,648,216,648,r2-sat.csv,true,8,786,2,800
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0720-01-1,720,1440,145,168,88,1680,720,240,720,r2-sat.csv,true,9,707,2,721
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0792-01-1,792,1584,162,188,94,1848,792,264,792,r2-sat.csv,true,11,548,2,565
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-01-1,864,1728,182,214,107,2016,864,288,864,r2-sat.csv,true,3,773,2,783
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-01-1,936,1872,193,232,120,2184,936,312,936,r2-sat.csv,true,4,1106,2,1115
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-01-1,1008,2016,204,238,119,2352,1008,336,1008,r2-sat.csv,true,4,1052,2,1061
