family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
grid,graphs/grid/grid-2-10,100,180,WL_DIST,1,42,15,15,8,6.67,160,360,200,1600,4128,8,6,38,85.4,2,618,0,2,0,0,37,1,1,200000,1,1.00,2,0,15,,,CERTIFIED,235,88.7,,,,PI,false,OFF,100,GLOBAL,1600,,CADICAL,
grid,graphs/grid/grid-2-15,225,420,WL_DIST,1,42,36,36,8,6.25,147,1569,450,17248,11544,8,6,24,169.9,2,1342,0,2,0,0,35,1,1,200000,1,1.00,2,0,36,,,CERTIFIED,206,168.9,,,,PI,false,OFF,225,GLOBAL,17248,,CADICAL,
grid,graphs/grid/grid-2-20,400,760,WL_DIST,1,42,55,55,8,7.27,322,1520,800,7920,4128,8,6,23,192.2,2,2638,0,2,0,0,73,1,1,200000,1,1.00,2,0,55,,,CERTIFIED,418,200.8,,,,PI,false,OFF,400,GLOBAL,7920,,CADICAL,
grid,graphs/grid/grid-2-25,625,1200,WL_DIST,1,42,91,91,8,6.87,759,4609,1250,56208,11544,8,6,73,243.5,2,3982,0,2,0,0,58,2,2,200000,1,1.00,2,0,91,,,CERTIFIED,890,252.6,,,,PI,false,OFF,625,GLOBAL,56208,,CADICAL,
grid,graphs/grid/grid-2-30,900,1740,WL_DIST,1,42,120,120,8,7.50,1614,3480,1800,19040,4128,8,6,45,289.8,2,6058,0,2,0,0,68,2,2,200000,1,1.00,2,0,120,,,CERTIFIED,1727,288.8,,,,PI,false,OFF,900,GLOBAL,19040,,CADICAL,
grid,graphs/grid/grid-2-35,1225,2380,WL_DIST,1,42,171,171,8,7.16,2009,9249,2450,117568,11544,8,6,73,348.8,2,8022,0,2,0,0,86,4,4,200000,1,1.00,2,0,171,,,CERTIFIED,2168,347.9,,,,PI,false,OFF,1225,GLOBAL,117568,,CADICAL,
grid,graphs/grid/grid-2-40,1600,3120,WL_DIST,1,42,210,210,8,7.62,984,6240,3200,34960,4128,8,6,96,403.5,2,10878,0,2,0,0,133,3,3,200000,1,1.00,2,0,210,,,CERTIFIED,1213,427.1,,,,PI,false,OFF,1600,GLOBAL,34960,,CADICAL,
grid,graphs/grid/grid-2-45,2025,3960,WL_DIST,1,42,276,276,8,7.34,1631,15489,4050,201328,11544,8,6,136,678.7,2,13462,0,2,0,0,162,8,8,200000,1,1.00,2,0,276,,,CERTIFIED,1929,678.7,,,,PI,false,OFF,2025,GLOBAL,201328,,CADICAL,
grid,graphs/grid/grid-2-5,25,40,WL_DIST,1,42,6,6,8,4.17,4,129,50,688,2160,8,6,1,678.7,2,102,0,2,0,0,4,0,0,200000,1,1.00,2,0,6,,,CERTIFIED,9,678.7,,,,PI,false,OFF,25,GLOBAL,688,,CADICAL,
grid,graphs/grid/grid-2-50,2500,4900,WL_DIST,1,42,325,325,8,7.69,2456,9800,5000,55680,4128,8,6,164,739.4,2,17098,0,2,0,0,213,4,4,200000,1,1.00,2,0,325,,,CERTIFIED,2833,739.4,,,,PI,false,OFF,2500,GLOBAL,55680,,CADICAL,
grid,graphs/grid/grid-2-55,3025,5940,WL_DIST,1,42,406,406,8,7.45,3438,23329,6050,307488,11544,8,6,226,832.2,2,20302,0,2,0,0,288,10,10,200000,1,1.00,2,0,406,,,CERTIFIED,3952,832.2,,,,PI,false,OFF,3025,GLOBAL,307488,,CADICAL,
grid,graphs/grid/grid-2-60,3600,7080,WL_DIST,1,42,465,465,8,7.74,5526,14160,7200,81200,4128,8,6,298,889.1,2,24718,0,2,0,0,326,4,4,200000,1,1.00,2,0,465,,,CERTIFIED,6150,889.1,,,,PI,false,OFF,3600,GLOBAL,81200,,CADICAL,
grid,graphs/grid/grid-2-65,4225,8320,WL_DIST,1,42,561,561,8,7.53,7780,32769,8450,436048,11544,8,6,357,1005.6,2,28542,0,2,0,0,393,16,16,200000,1,1.00,2,0,561,,,CERTIFIED,8530,1005.6,,,,PI,false,OFF,4225,GLOBAL,436048,,CADICAL,
grid,graphs/grid/grid-2-70,4900,9660,WL_DIST,1,42,630,630,8,7.78,10645,19320,9800,111520,4128,8,6,511,1135.8,2,33738,0,2,0,0,571,7,7,200000,1,1.00,2,0,630,,,CERTIFIED,11727,1135.8,,,,PI,false,OFF,4900,GLOBAL,111520,,CADICAL,
grid,graphs/grid/grid-2-75,5625,11100,WL_DIST,1,42,741,741,8,7.59,14716,43809,11250,587008,11544,8,6,530,1308.6,2,38182,0,2,0,0,687,22,22,200000,1,1.00,2,0,741,,,CERTIFIED,15933,1308.6,,,,PI,false,OFF,5625,GLOBAL,587008,,CADICAL,
grid,graphs/grid/grid-2-80,6400,12640,WL_DIST,1,42,820,820,8,7.80,17890,25280,12800,146640,4128,8,6,788,1444.9,2,44158,0,2,0,0,876,10,10,200000,1,1.00,2,0,820,,,CERTIFIED,19554,1482.6,,,,PI,false,OFF,6400,GLOBAL,146640,,CADICAL,
grid,graphs/grid/grid-2-85,7225,14280,WL_DIST,1,42,946,946,8,7.64,21907,56449,14450,760368,11544,8,6,762,2271.9,2,49222,0,2,0,0,946,28,28,200000,1,1.00,2,0,946,,,CERTIFIED,23615,2271.9,,,,PI,false,OFF,7225,GLOBAL,760368,,CADICAL,
grid,graphs/grid/grid-3-10,1000,2700,WL_DIST,1,42,35,35,48,28.57,601,17440,2000,787440,142848,8,6,704,2271.9,3,33877,0,3,0,0,927,15,13,200000,1,1.00,3,0,35,,,CERTIFIED,2232,2271.9,,,,PI,false,OFF,1000,GLOBAL,787440,,CADICAL,
