family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
grid,graphs/grid/grid-2-10,100,180,100,15,3,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-15,225,420,225,36,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-20,400,760,400,55,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-25,625,1200,625,91,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-30,900,1740,900,120,3,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-35,1225,2380,1225,171,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-40,1600,3120,1600,210,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-45,2025,3960,2025,276,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-5,25,40,25,6,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-50,2500,4900,2500,325,7,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-55,3025,5940,3025,406,7,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-60,3600,7080,3600,465,7,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-65,4225,8320,4225,561,6,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-70,4900,9660,4900,630,7,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-75,5625,11100,5625,741,9,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-80,6400,12640,6400,820,8,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-2-85,7225,14280,7225,946,9,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-10,1000,2700,1000,35,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-11,1331,3630,1331,56,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-12,1728,4752,1728,56,6,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-13,2197,6084,2197,84,6,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-14,2744,7644,2744,84,8,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-15,3375,9450,3375,120,6,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-16,4096,11520,4096,120,9,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-17,4913,13872,4913,165,10,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-18,5832,16524,5832,165,11,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-19,6859,19494,6859,220,11,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-2,8,12,8,1,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-20,8000,22800,8000,220,12,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-3,27,54,27,4,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-4,64,144,64,4,3,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-5,125,300,125,10,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-6,216,540,216,10,4,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-7,343,882,343,20,3,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-8,512,1344,512,20,5,false,OK,traces,4096,3600,false
grid,graphs/grid/grid-3-9,729,1944,729,35,4,false,OK,traces,4096,3600,false
