family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
had,graphs/had/had-1,4,4,4,1,4,false,OK,traces,4096,3600,false
had,graphs/had/had-12,48,312,48,1,3,false,OK,traces,4096,3600,false
had,graphs/had/had-16,64,544,64,1,4,false,OK,traces,4096,3600,false
had,graphs/had/had-2,8,12,8,1,3,false,OK,traces,4096,3600,false
had,graphs/had/had-20,80,840,80,1,3,false,OK,traces,4096,3600,false
had,graphs/had/had-24,96,1200,96,1,5,false,OK,traces,4096,3600,false
had,graphs/had/had-28,112,1624,112,1,7,false,OK,traces,4096,3600,false
had,graphs/had/had-32,128,2112,128,1,6,false,OK,traces,4096,3600,false
had,graphs/had/had-36,144,2664,144,1,5,false,OK,traces,4096,3600,false
had,graphs/had/had-4,16,40,16,1,2,false,OK,traces,4096,3600,false
had,graphs/had/had-40,160,3280,160,1,7,false,OK,traces,4096,3600,false
had,graphs/had/had-44,176,3960,176,1,6,false,OK,traces,4096,3600,false
had,graphs/had/had-48,192,4704,192,1,5,false,OK,traces,4096,3600,false
had,graphs/had/had-52,208,5512,208,2,17,false,OK,traces,4096,3600,false
had,graphs/had/had-56,224,6384,224,1,8,false,OK,traces,4096,3600,false
had,graphs/had/had-60,240,7320,240,1,4,false,OK,traces,4096,3600,false
had,graphs/had/had-64,256,8320,256,1,6,false,OK,traces,4096,3600,false
had,graphs/had/had-68,272,9384,272,1,6,false,OK,traces,4096,3600,false
had,graphs/had/had-72,288,10512,288,1,7,false,OK,traces,4096,3600,false
had,graphs/had/had-76,304,11704,304,1,9,false,OK,traces,4096,3600,false
had,graphs/had/had-8,32,144,32,1,2,false,OK,traces,4096,3600,false
