family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
had,graphs/had/had-1,4,4,WL_DIST,1,42,1,1,4,4.00,147,8,8,0,32,8,6,25,76.4,1,11,0,1,0,0,19,1,1,200000,1,1.00,1,0,1,,,CERTIFIED,191,77.0,,,,PI,false,OFF,4,GLOBAL,0,,CADICAL,
had,graphs/had/had-12,48,312,WL_DIST,1,42,1,1,48,48.00,0,2304,96,14976,0,8,6,84,98.9,4,2252,0,4,0,0,84,8,4,200000,1,1.00,4,0,1,,,CERTIFIED,168,112.1,1,,,WL1_ORIGINAL,false,OFF,48,GLOBAL,14976,,CADICAL,
had,graphs/had/had-16,64,544,WL_DIST,1,42,1,1,64,64.00,0,4096,128,34816,0,8,6,114,157.7,6,4026,0,6,0,0,156,9,3,200000,1,1.00,6,0,1,,,CERTIFIED,270,181.2,1,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,34816,,CADICAL,
had,graphs/had/had-2,8,12,WL_DIST,1,42,1,1,8,8.00,0,64,16,480,2432,8,6,2,181.2,3,53,0,3,0,0,7,0,0,200000,1,1.00,3,0,1,,,CERTIFIED,9,181.2,1,,,WL1_ORIGINAL,false,OFF,8,GLOBAL,480,,CADICAL,
had,graphs/had/had-20,80,840,WL_DIST,1,42,1,1,80,80.00,1,6400,160,67200,0,8,6,211,214.0,4,6316,0,4,0,0,27253,1046,1000,200000,1,1.00,4,0,1,,,CERTIFIED,27465,384.3,1,,,WL1_ORIGINAL,false,OFF,80,GLOBAL,67200,,CADICAL,
had,graphs/had/had-24,96,1200,WL_DIST,1,42,1,1,96,96.00,0,9216,192,115200,0,8,6,416,384.3,5,9115,0,5,0,0,5816,1079,583,200000,1,1.00,5,0,1,,,CERTIFIED,6232,451.8,1,,,WL1_ORIGINAL,false,OFF,96,GLOBAL,115200,,CADICAL,
had,graphs/had/had-28,112,1624,WL_DIST,1,42,1,1,112,112.00,0,12544,224,181888,0,8,6,668,451.8,3,12429,0,3,0,0,102428,1157,1000,200000,1,1.00,3,0,1,,,CERTIFIED,103096,702.4,1,,,WL1_ORIGINAL,false,OFF,112,GLOBAL,181888,,CADICAL,
had,graphs/had/had-32,128,2112,WL_DIST,1,42,1,1,128,128.00,0,,,,,,,,,4,16252,0,4,0,0,81472,47284,30751,200000,1,,4,0,1,,,CERTIFIED,81472,702.4,1,,,WL1_ORIGINAL,false,OFF,128,PER_QUERY,270336,156674,CADICAL,
had,graphs/had/had-36,144,2664,WL_DIST,1,42,1,1,144,144.00,1,,,,,,,,,4,20588,0,4,0,0,122537,68690,53183,200000,1,,4,0,1,,,CERTIFIED,122538,702.4,1,,,WL1_ORIGINAL,false,OFF,144,PER_QUERY,383616,180146,CADICAL,
had,graphs/had/had-4,16,40,WL_DIST,1,42,1,1,16,16.00,0,256,32,7040,0,8,6,3,702.4,5,235,0,5,0,0,10,0,0,200000,1,1.00,5,0,1,,,CERTIFIED,13,702.4,1,,,WL1_ORIGINAL,false,OFF,16,GLOBAL,7040,,CADICAL,
had,graphs/had/had-40,160,3280,WL_DIST,1,42,1,1,160,160.00,0,,,,,,,,,6,25434,0,5,0,1,598300,200441,171165,200000,1,,5,0,1,,,PARTIAL,598300,753.4,1,,,WL1_ORIGINAL,false,OFF,160,PER_QUERY,524800,248002,CADICAL,
