family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
latin,graphs/latin/latin-10,100,1350,100,1,12,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-11,121,1815,121,1,4,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-12,144,2376,144,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-13,169,3042,169,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-14,196,3822,196,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-15,225,4725,225,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-16,256,5760,256,1,7,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-17,289,6936,289,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-18,324,8262,324,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-19,361,9747,361,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-2,4,6,4,1,5,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-20,400,11400,400,1,7,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-3,9,27,9,1,4,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-4,16,72,16,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-5,25,150,25,1,4,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-6,36,270,36,1,4,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-7,49,441,49,1,4,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-8,64,672,64,1,6,false,OK,traces,4096,3600,false
latin,graphs/latin/latin-9,81,972,81,1,5,false,OK,traces,4096,3600,false
