family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
latin,graphs/latin/latin-10,100,1350,WL_DIST,1,42,1,1,100,100.00,25,10000,200,135000,0,8,6,660,222.4,2,9898,0,2,0,0,17203,1145,1000,200000,1,1.00,2,0,1,,,CERTIFIED,17888,422.0,1,,,WL1_ORIGINAL,false,OFF,100,GLOBAL,135000,,CADICAL,
latin,graphs/latin/latin-11,121,1815,WL_DIST,1,42,1,1,121,121.00,0,14641,242,219615,0,8,6,861,443.6,2,14518,0,2,0,0,10543,1334,1094,200000,1,1.00,2,0,1,,,CERTIFIED,11404,699.4,1,,,WL1_ORIGINAL,false,OFF,121,GLOBAL,219615,,CADICAL,
latin,graphs/latin/latin-12,144,2376,WL_DIST,1,42,1,1,144,144.00,1,,,,,,,,,3,20589,0,3,0,0,2394,903,772,200000,1,,3,0,1,,,CERTIFIED,2395,699.4,1,,,WL1_ORIGINAL,false,OFF,144,PER_QUERY,342144,204369,CADICAL,
latin,graphs/latin/latin-13,169,3042,WL_DIST,1,42,1,1,169,169.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,169,NONE,514098,317304,CADICAL,
latin,graphs/latin/latin-14,196,3822,WL_DIST,1,42,1,1,196,196.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,699.4,1,,,WL1_ORIGINAL,false,OFF,196,NONE,749112,476073,CADICAL,
latin,graphs/latin/latin-15,225,4725,WL_DIST,1,42,1,1,225,225.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,225,NONE,1063125,693546,CADICAL,
latin,graphs/latin/latin-16,256,5760,WL_DIST,1,42,1,1,256,256.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,256,NONE,1474560,984825,CADICAL,
latin,graphs/latin/latin-17,289,6936,WL_DIST,1,42,1,1,289,289.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,289,NONE,2004504,1367424,CADICAL,
latin,graphs/latin/latin-18,324,8262,WL_DIST,1,42,1,1,324,324.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,324,NONE,2676888,1861449,CADICAL,
latin,graphs/latin/latin-19,361,9747,WL_DIST,1,42,1,1,361,361.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,361,NONE,3518667,2489778,CADICAL,
latin,graphs/latin/latin-2,4,6,WL_DIST,1,42,1,1,4,4.00,0,16,8,24,96,8,6,1,699.4,2,10,0,2,0,0,4,1,1,200000,1,1.00,2,0,1,,,CERTIFIED,5,699.4,1,,,WL1_ORIGINAL,false,OFF,4,GLOBAL,24,,CADICAL,
latin,graphs/latin/latin-20,400,11400,WL_DIST,1,42,1,1,400,400.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,699.4,1,,,WL1_ORIGINAL,false,OFF,400,NONE,4560000,3278241,CADICAL,
latin,graphs/latin/latin-3,9,27,WL_DIST,1,42,1,1,9,9.00,0,81,18,729,2880,8,6,3,699.4,2,70,0,2,0,0,8,0,0,200000,1,1.00,2,0,1,,,CERTIFIED,11,699.4,1,,,WL1_ORIGINAL,false,OFF,9,GLOBAL,729,,CADICAL,
latin,graphs/latin/latin-4,16,72,WL_DIST,1,42,1,1,16,16.00,0,256,32,8064,0,8,6,5,699.4,2,238,0,2,0,0,9,1,1,200000,1,1.00,2,0,1,,,CERTIFIED,14,699.4,1,,,WL1_ORIGINAL,false,OFF,16,GLOBAL,8064,,CADICAL,
latin,graphs/latin/latin-5,25,150,WL_DIST,1,42,1,1,25,25.00,0,625,50,48750,0,8,6,20,699.4,2,598,0,2,0,0,29,1,1,200000,1,1.00,2,0,1,,,CERTIFIED,49,699.4,1,,,WL1_ORIGINAL,false,OFF,25,GLOBAL,48750,,CADICAL,
latin,graphs/latin/latin-6,36,270,WL_DIST,1,42,1,1,36,36.00,0,1296,72,9720,0,8,6,20,699.4,3,1257,0,3,0,0,196,79,44,200000,1,1.00,3,0,1,,,CERTIFIED,216,699.4,1,,,WL1_ORIGINAL,false,OFF,36,GLOBAL,9720,,CADICAL,
latin,graphs/latin/latin-7,49,441,WL_DIST,1,42,1,1,49,49.00,1,2401,98,21609,0,8,6,55,699.4,2,2350,0,2,0,0,98,12,12,200000,1,1.00,2,0,1,,,CERTIFIED,154,699.4,1,,,WL1_ORIGINAL,false,OFF,49,GLOBAL,21609,,CADICAL,
latin,graphs/latin/latin-8,64,672,WL_DIST,1,42,1,1,64,64.00,0,4096,128,43008,0,8,6,142,699.4,2,4030,0,2,0,0,306,128,128,200000,1,1.00,2,0,1,,,CERTIFIED,448,699.4,1,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,43008,,CADICAL,
latin,graphs/latin/latin-9,81,972,WL_DIST,1,42,1,1,81,81.00,1,6561,162,78732,0,8,6,245,699.4,3,6477,0,3,0,0,3713,1046,1000,200000,1,1.00,3,0,1,,,CERTIFIED,3959,699.4,1,,,WL1_ORIGINAL,false,OFF,81,GLOBAL,78732,,CADICAL,
