family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
lattice,graphs/lattice/lattice-10,100,900,100,1,5,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-11,121,1210,121,1,5,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-12,144,1584,144,1,4,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-13,169,2028,169,1,7,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-14,196,2548,196,1,6,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-15,225,3150,225,1,7,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-16,256,3840,256,1,6,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-17,289,4624,289,1,5,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-18,324,5508,324,1,6,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-19,361,6498,361,1,8,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-20,400,7600,400,1,8,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-4,16,48,16,1,4,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-5,25,100,25,1,6,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-6,36,180,36,1,4,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-7,49,294,49,1,4,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-8,64,448,64,1,5,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-9,81,648,81,1,5,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-21,441,8820,441,1,9,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-22,484,10164,484,1,9,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-23,529,11638,529,1,10,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-24,576,13248,576,1,11,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-25,625,15000,625,1,10,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-26,676,16900,676,1,12,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-27,729,18954,729,1,17,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-28,784,21168,784,1,18,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-29,841,23548,841,1,14,false,OK,traces,4096,3600,false
lattice,graphs/lattice/lattice-30,900,26100,900,1,14,false,OK,traces,4096,3600,false
