family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
lattice,graphs/lattice/lattice-10,100,900,WL_DIST,1,42,1,1,100,100.00,15,10000,200,90000,0,8,6,517,211.0,9,9891,0,9,0,0,543,11,3,200000,1,1.00,9,0,1,,,CERTIFIED,1075,217.3,1,,,WL1_ORIGINAL,false,OFF,100,GLOBAL,90000,,CADICAL,
lattice,graphs/lattice/lattice-11,121,1210,WL_DIST,1,42,1,1,121,121.00,1,14641,242,146410,0,8,6,677,321.1,10,14510,0,10,0,0,816,13,3,200000,1,1.00,10,0,1,,,CERTIFIED,1494,319.8,1,,,WL1_ORIGINAL,false,OFF,121,GLOBAL,146410,,CADICAL,
lattice,graphs/lattice/lattice-12,144,1584,WL_DIST,1,42,1,1,144,144.00,0,,,,,,,,,11,20581,0,11,0,0,6977,912,537,200000,1,,11,0,1,,,CERTIFIED,6977,418.4,1,,,WL1_ORIGINAL,false,OFF,144,PER_QUERY,228096,180774,CADICAL,
lattice,graphs/lattice/lattice-13,169,2028,WL_DIST,1,42,1,1,169,169.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,418.4,1,,,WL1_ORIGINAL,false,OFF,169,NONE,342732,276192,CADICAL,
lattice,graphs/lattice/lattice-14,196,2548,WL_DIST,1,42,1,1,196,196.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,418.4,1,,,WL1_ORIGINAL,false,OFF,196,NONE,499408,408304,CADICAL,
lattice,graphs/lattice/lattice-15,225,3150,WL_DIST,1,42,1,1,225,225.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,418.4,1,,,WL1_ORIGINAL,false,OFF,225,NONE,708750,586824,CADICAL,
lattice,graphs/lattice/lattice-16,256,3840,WL_DIST,1,42,1,1,256,256.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,418.4,1,,,WL1_ORIGINAL,false,OFF,256,NONE,983040,823050,CADICAL,
lattice,graphs/lattice/lattice-17,289,4624,WL_DIST,1,42,1,1,289,289.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,418.4,1,,,WL1_ORIGINAL,false,OFF,289,NONE,1336336,1129984,CADICAL,
lattice,graphs/lattice/lattice-18,324,5508,WL_DIST,1,42,1,1,324,324.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,418.4,1,,,WL1_ORIGINAL,false,OFF,324,NONE,1784592,1365236,CADICAL,
lattice,graphs/lattice/lattice-19,361,6498,WL_DIST,1,42,1,1,361,361.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,418.4,1,,,WL1_ORIGINAL,false,OFF,361,NONE,2345778,1818936,CADICAL,
