family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
mz-aug,graphs/mz-aug/mz-aug-10,200,460,200,50,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-12,240,552,240,60,2,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-14,280,644,280,70,3,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-16,320,736,320,80,3,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-18,360,828,360,90,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-2,40,92,40,10,3,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-20,400,920,400,100,2,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-22,440,1012,440,110,3,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-24,480,1104,480,120,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-26,520,1196,520,130,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-28,560,1288,560,140,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-30,600,1380,600,150,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-32,640,1472,640,160,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-34,680,1564,680,170,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-36,720,1656,720,180,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-38,760,1748,760,190,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-4,80,184,80,20,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-40,800,1840,800,200,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-42,840,1932,840,210,3,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-44,880,2024,880,220,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-46,920,2116,920,230,5,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-48,960,2208,960,240,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-50,1000,2300,1000,250,4,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-6,120,276,120,30,3,false,OK,traces,4096,3600,false
mz-aug,graphs/mz-aug/mz-aug-8,160,368,160,40,5,false,OK,traces,4096,3600,false
