family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
mz-aug,graphs/mz-aug/mz-aug-10,200,460,PI_DIST,1,42,3,46,8,4.35,838,1120,400,11536,2528,8,6,46,218.7,17,827,76,13,4,0,53,3,0,200000,1,1.00,13,0,50,,,CERTIFIED,937,217.7,3,135,46,PI_TO_ORIGINAL,true,AUTO,200,GLOBAL,11536,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-12,240,552,PI_DIST,1,42,3,56,8,4.29,404,1328,480,13496,2528,8,6,17,250.0,19,993,76,15,4,0,34,1,1,200000,1,1.00,15,0,60,,,CERTIFIED,455,249.2,3,164,56,PI_TO_ORIGINAL,true,AUTO,240,GLOBAL,13496,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-14,280,644,PI_DIST,1,42,3,66,8,4.24,435,1536,560,15456,2528,8,6,23,308.5,21,1159,76,17,4,0,33,1,0,200000,1,1.00,17,0,70,,,CERTIFIED,491,307.7,3,193,66,PI_TO_ORIGINAL,true,AUTO,280,GLOBAL,15456,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-16,320,736,PI_DIST,1,42,3,76,8,4.21,650,1744,640,17416,2528,8,6,13,323.9,23,1325,76,19,4,0,35,1,0,200000,1,1.00,19,0,80,,,CERTIFIED,698,323.2,3,222,76,PI_TO_ORIGINAL,true,AUTO,320,GLOBAL,17416,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-18,360,828,PI_DIST,1,42,3,86,8,4.19,702,1952,720,19376,2528,8,6,13,371.8,25,1491,76,21,4,0,32,1,0,200000,1,1.00,21,0,90,,,CERTIFIED,747,371.7,3,251,86,PI_TO_ORIGINAL,true,AUTO,360,GLOBAL,19376,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-2,40,92,PI_DIST,1,42,3,10,8,4.00,33,208,80,1832,1664,8,6,2,371.7,4,164,0,4,0,0,6,0,0,200000,1,1.00,4,0,10,,,CERTIFIED,41,371.7,3,30,10,PI_TO_ORIGINAL,true,AUTO,40,GLOBAL,1832,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-20,400,920,PI_DIST,1,42,3,96,8,4.17,613,2160,800,21336,2528,8,6,14,450.1,27,1657,76,23,4,0,36,1,0,200000,1,1.00,23,0,100,,,CERTIFIED,663,449.1,3,280,96,PI_TO_ORIGINAL,true,AUTO,400,GLOBAL,21336,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-22,440,1012,PI_DIST,1,42,3,106,8,4.15,667,2368,880,23296,2528,8,6,15,449.1,29,1823,76,25,4,0,39,1,0,200000,1,1.00,25,0,110,,,CERTIFIED,721,449.1,3,309,106,PI_TO_ORIGINAL,true,AUTO,440,GLOBAL,23296,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-24,480,1104,PI_DIST,1,42,3,116,8,4.14,793,2576,960,25256,2528,8,6,16,555.9,31,1989,76,27,4,0,42,1,0,200000,1,1.00,27,0,120,,,CERTIFIED,851,555.2,3,338,116,PI_TO_ORIGINAL,true,AUTO,480,GLOBAL,25256,,CADICAL,
mz-aug,graphs/mz-aug/mz-aug-26,520,1196,PI_DIST,1,42,3,126,8,4.13,906,2784,1040,27216,2528,8,6,18,555.2,33,2155,76,29,4,0,43,1,0,200000,1,1.00,29,0,130,,,CERTIFIED,967,555.2,3,367,126,PI_TO_ORIGINAL,true,AUTO,520,GLOBAL,27216,,CADICAL,
