family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
mz-aug2,graphs/mz-aug2/mz-aug2-10,240,380,240,140,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-12,288,456,288,168,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-14,336,532,336,196,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-16,384,608,384,224,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-18,432,684,432,252,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-20,480,760,480,280,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-22,528,836,528,308,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-24,576,912,576,336,3,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-26,624,988,624,364,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-28,672,1064,672,392,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-30,720,1140,720,420,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-32,768,1216,768,448,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-34,816,1292,816,476,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-36,864,1368,864,504,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-38,912,1444,912,532,3,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-4,96,152,96,56,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-40,960,1520,960,560,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-42,1008,1596,1008,588,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-44,1056,1672,1056,616,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-46,1104,1748,1104,644,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-48,1152,1824,1152,672,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-50,1200,1900,1200,700,5,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-6,144,228,144,84,4,false,OK,traces,4096,3600,false
mz-aug2,graphs/mz-aug2/mz-aug2-8,192,304,192,112,4,false,OK,traces,4096,3600,false
