family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
mz-aug2,graphs/mz-aug2/mz-aug2-10,240,380,PI_DIST,1,42,80,122,4,1.97,982,632,480,1468,0,8,6,36,209.5,30,308,54,12,18,0,47,2,0,200000,1,1.00,12,0,140,,,CERTIFIED,1065,208.9,80,289,122,PI_TO_ORIGINAL,true,AUTO,240,GLOBAL,1468,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-12,288,456,PI_DIST,1,42,96,144,4,2.00,787,768,576,1808,0,8,6,6,228.4,38,370,72,14,24,0,23,1,0,200000,1,1.00,14,0,168,,,CERTIFIED,816,227.3,96,341,144,PI_TO_ORIGINAL,true,AUTO,288,GLOBAL,1808,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-14,336,532,PI_DIST,1,42,112,166,4,2.02,416,904,672,2148,0,8,6,22,262.1,46,432,90,16,30,0,26,1,0,200000,1,1.00,16,0,196,,,CERTIFIED,464,260.9,112,393,166,PI_TO_ORIGINAL,true,AUTO,336,GLOBAL,2148,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-16,384,608,PI_DIST,1,42,128,188,4,2.04,435,1040,768,2488,0,8,6,7,303.2,54,494,108,18,36,0,20,1,0,200000,1,1.00,18,0,224,,,CERTIFIED,462,303.2,128,445,188,PI_TO_ORIGINAL,true,AUTO,384,GLOBAL,2488,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-18,432,684,PI_DIST,1,42,144,210,4,2.06,478,1176,864,2828,0,8,6,7,406.1,62,556,126,20,42,0,19,1,0,200000,1,1.00,20,0,252,,,CERTIFIED,504,405.1,144,497,210,PI_TO_ORIGINAL,true,AUTO,432,GLOBAL,2828,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-20,480,760,PI_DIST,1,42,160,232,4,2.07,625,1312,960,3168,0,8,6,6,410.9,70,618,144,22,48,0,20,1,0,200000,1,1.00,22,0,280,,,CERTIFIED,651,409.7,160,549,232,PI_TO_ORIGINAL,true,AUTO,480,GLOBAL,3168,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-22,528,836,PI_DIST,1,42,176,254,4,2.08,733,1448,1056,3508,0,8,6,6,409.7,78,680,162,24,54,0,25,1,0,200000,1,1.00,24,0,308,,,CERTIFIED,764,409.7,176,601,254,PI_TO_ORIGINAL,true,AUTO,528,GLOBAL,3508,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-24,576,912,PI_DIST,1,42,192,276,4,2.09,802,1584,1152,3848,0,8,6,6,521.8,86,742,180,26,60,0,21,1,0,200000,1,1.00,26,0,336,,,CERTIFIED,829,520.8,192,653,276,PI_TO_ORIGINAL,true,AUTO,576,GLOBAL,3848,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-26,624,988,PI_DIST,1,42,208,298,4,2.09,891,1720,1248,4188,0,8,6,7,520.8,94,804,198,28,66,0,23,1,0,200000,1,1.00,28,0,364,,,CERTIFIED,921,520.8,208,705,298,PI_TO_ORIGINAL,true,AUTO,624,GLOBAL,4188,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-28,672,1064,PI_DIST,1,42,224,320,4,2.10,1025,1856,1344,4528,0,8,6,8,520.8,102,866,216,30,72,0,30,1,0,200000,1,1.00,30,0,392,,,CERTIFIED,1063,520.8,224,757,320,PI_TO_ORIGINAL,true,AUTO,672,GLOBAL,4528,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-30,720,1140,PI_DIST,1,42,240,342,4,2.11,1223,1992,1440,4868,0,8,6,13,520.8,110,928,234,32,78,0,33,2,0,200000,1,1.00,32,0,420,,,CERTIFIED,1269,520.8,240,809,342,PI_TO_ORIGINAL,true,AUTO,720,GLOBAL,4868,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-32,768,1216,PI_DIST,1,42,256,364,4,2.11,1395,2128,1536,5208,0,8,6,8,599.9,118,990,252,34,84,0,29,1,0,200000,1,1.00,34,0,448,,,CERTIFIED,1432,598.9,256,861,364,PI_TO_ORIGINAL,true,AUTO,768,GLOBAL,5208,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-34,816,1292,PI_DIST,1,42,272,386,4,2.11,1535,2264,1632,5548,0,8,6,9,598.9,126,1052,270,36,90,0,35,1,0,200000,1,1.00,36,0,476,,,CERTIFIED,1579,598.9,272,913,386,PI_TO_ORIGINAL,true,AUTO,816,GLOBAL,5548,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-36,864,1368,PI_DIST,1,42,288,408,4,2.12,1642,2400,1728,5888,0,8,6,10,659.6,134,1114,288,38,96,0,33,1,0,200000,1,1.00,38,0,504,,,CERTIFIED,1685,658.3,288,965,408,PI_TO_ORIGINAL,true,AUTO,864,GLOBAL,5888,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-38,912,1444,PI_DIST,1,42,304,430,4,2.12,1641,2536,1824,6228,0,8,6,9,663.6,142,1176,306,40,102,0,37,2,0,200000,1,1.00,40,0,532,,,CERTIFIED,1687,662.3,304,1017,430,PI_TO_ORIGINAL,true,AUTO,912,GLOBAL,6228,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-4,96,152,PI_DIST,1,42,32,56,4,1.71,33,224,192,448,0,8,6,1,662.3,6,122,0,6,0,0,6,0,0,200000,1,1.00,6,0,56,,,CERTIFIED,40,662.3,32,133,56,PI_TO_ORIGINAL,true,AUTO,96,GLOBAL,448,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-40,960,1520,PI_DIST,1,42,320,452,4,2.12,1548,2672,1920,6568,0,8,6,9,669.9,150,1238,324,42,108,0,38,1,0,200000,1,1.00,42,0,560,,,CERTIFIED,1595,669.0,320,1069,452,PI_TO_ORIGINAL,true,AUTO,960,GLOBAL,6568,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-42,1008,1596,PI_DIST,1,42,336,474,4,2.13,1696,2808,2016,6908,0,8,6,10,724.1,158,1300,342,44,114,0,41,2,0,200000,1,1.00,44,0,588,,,CERTIFIED,1747,723.0,336,1121,474,PI_TO_ORIGINAL,true,AUTO,1008,GLOBAL,6908,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-44,1056,1672,PI_DIST,1,42,352,496,4,2.13,1841,2944,2112,7248,0,8,6,14,723.0,166,1362,360,46,120,0,44,1,0,200000,1,1.00,46,0,616,,,CERTIFIED,1899,723.0,352,1173,496,PI_TO_ORIGINAL,true,AUTO,1056,GLOBAL,7248,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-46,1104,1748,PI_DIST,1,42,368,518,4,2.13,2626,3080,2208,7588,0,8,6,14,723.0,174,1424,378,48,126,0,38,1,0,200000,1,1.00,48,0,644,,,CERTIFIED,2678,723.0,368,1225,518,PI_TO_ORIGINAL,true,AUTO,1104,GLOBAL,7588,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-48,1152,1824,PI_DIST,1,42,384,540,4,2.13,2842,3216,2304,7928,0,8,6,15,781.8,182,1486,396,50,132,0,47,2,0,200000,1,1.00,50,0,672,,,CERTIFIED,2904,781.1,384,1277,540,PI_TO_ORIGINAL,true,AUTO,1152,GLOBAL,7928,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-50,1200,1900,PI_DIST,1,42,400,562,4,2.14,3108,3352,2400,8268,0,8,6,16,794.3,190,1548,414,52,138,0,51,2,0,200000,1,1.00,52,0,700,,,CERTIFIED,3175,793.5,400,1329,562,PI_TO_ORIGINAL,true,AUTO,1200,GLOBAL,8268,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-6,144,228,PI_DIST,1,42,48,78,4,1.85,66,360,288,788,0,8,6,0,793.5,14,184,18,8,6,0,6,0,0,200000,1,1.00,8,0,84,,,CERTIFIED,72,793.5,48,185,78,PI_TO_ORIGINAL,true,AUTO,144,GLOBAL,788,,CADICAL,
mz-aug2,graphs/mz-aug2/mz-aug2-8,192,304,PI_DIST,1,42,64,100,4,1.92,115,496,384,1128,0,8,6,2,793.5,22,246,36,10,12,0,8,1,0,200000,1,1.00,10,0,112,,,CERTIFIED,125,793.5,64,237,100,PI_TO_ORIGINAL,true,AUTO,192,GLOBAL,1128,,CADICAL,
