family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
mz,graphs/mz/mz-10,200,300,200,50,2,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-12,240,360,240,60,4,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-14,280,420,280,70,4,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-16,320,480,320,80,2,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-18,360,540,360,90,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-2,40,60,40,10,2,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-20,400,600,400,100,2,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-22,440,660,440,110,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-24,480,720,480,120,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-26,520,780,520,130,6,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-28,560,840,560,140,4,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-30,600,900,600,150,5,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-32,640,960,640,160,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-34,680,1020,680,170,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-36,720,1080,720,180,4,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-38,760,1140,760,190,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-4,80,120,80,20,4,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-40,800,1200,800,200,4,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-42,840,1260,840,210,6,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-44,880,1320,880,220,5,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-46,920,1380,920,230,5,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-48,960,1440,960,240,3,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-50,1000,1500,1000,250,5,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-6,120,180,120,30,5,false,OK,traces,4096,3600,false
mz,graphs/mz/mz-8,160,240,160,40,4,false,OK,traces,4096,3600,false
