family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0068-03-1,68,132,68,43,4,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-1,72,144,72,72,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-2,72,144,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-02-1,72,144,72,72,2,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-04-1,72,144,72,72,2,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-04-2,72,144,72,72,2,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-1,144,288,144,144,4,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-2,144,288,144,144,2,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-02-1,144,288,144,144,4,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-02-2,144,288,144,144,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-03-1,144,288,144,144,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-03-2,144,288,144,144,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-04-1,144,288,144,144,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-04-2,144,288,144,144,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-01-1,216,432,216,216,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-01-2,216,432,216,216,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-02-1,216,432,216,216,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-02-2,216,432,216,216,4,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-03-1,216,432,216,216,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-03-2,216,432,216,216,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-04-1,216,432,216,216,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-04-2,216,432,216,216,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-1,288,576,288,288,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-2,288,576,288,288,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-02-1,288,576,288,288,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-02-2,288,576,288,288,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-03-1,288,576,288,288,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-03-2,288,576,288,288,4,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-04-1,288,576,288,288,4,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-04-2,288,576,288,288,6,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-01-1,360,720,360,360,6,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-01-2,360,720,360,360,6,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-02-1,360,720,360,360,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-02-2,360,720,360,360,3,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-03-1,360,720,360,360,5,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-03-2,360,720,360,360,9,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-04-1,360,720,360,360,15,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0360-04-2,360,720,360,360,16,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-01-1,432,864,432,432,8,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-01-2,432,864,432,432,8,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-02-1,432,864,432,432,440,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-02-2,432,864,432,432,443,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-03-1,432,864,432,432,7,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-03-2,432,864,432,432,6,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-04-1,432,864,432,432,59,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0432-04-2,432,864,432,432,60,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-01-1,504,1008,504,504,9,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-01-2,504,1008,504,504,9,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-02-1,504,1008,504,504,24,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-02-2,504,1008,504,504,22,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-03-1,504,1008,504,504,23,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-03-2,504,1008,504,504,23,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-04-1,504,1008,504,504,8,false,OK,traces,4096,3600,false
