family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0068-03-1,68,132,PI_DIST,1,42,23,23,4,2.96,209,224,136,528,320,8,6,27,83.3,27,49,80,1,26,0,31,2,0,80000,4,1.10,1,0,43,,,CERTIFIED,267,89.6
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-1,72,144,PI_DIST,1,42,24,24,4,3.00,55,240,144,576,416,8,6,3,96.6,84,0,84,0,84,0,20,0,0,80000,4,1.24,0,0,72,,,CERTIFIED,78,103.8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-2,72,144,PI_DIST,1,42,24,24,4,3.00,46,240,144,576,448,8,6,3,112.9,84,0,84,0,84,0,17,1,0,80000,4,1.33,0,0,72,,,CERTIFIED,66,123.1
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-02-1,72,144,PI_DIST,1,42,24,24,4,3.00,47,240,144,576,480,8,6,1,133.1,84,0,84,0,84,0,15,1,0,80000,4,1.29,0,0,72,,,CERTIFIED,63,136.7
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-04-1,72,144,PI_DIST,1,42,24,24,4,3.00,45,240,144,576,512,8,6,2,150.2,84,0,84,0,84,0,10,0,0,80000,4,1.09,0,0,72,,,CERTIFIED,57,154.0
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-04-2,72,144,PI_DIST,1,42,24,24,4,3.00,43,240,144,576,448,8,6,1,163.6,84,0,84,0,84,0,24,1,0,80000,4,1.73,0,0,72,,,CERTIFIED,68,170.3
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-1,144,288,PI_DIST,1,42,48,48,4,3.00,121,480,288,1152,416,8,6,4,202.2,168,0,168,0,168,0,28,1,0,80000,4,1.48,0,0,144,,,CERTIFIED,153,203.5
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-2,144,288,PI_DIST,1,42,48,48,4,3.00,115,480,288,1152,448,8,6,6,208.2,168,0,168,0,168,0,32,1,0,80000,4,1.47,0,0,144,,,CERTIFIED,153,209.0
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-02-1,144,288,PI_DIST,1,42,48,48,4,3.00,111,480,288,1152,384,8,6,2,214.1,168,0,168,0,168,0,11,1,0,80000,4,1.12,0,0,144,,,CERTIFIED,124,217.2
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-02-2,144,288,PI_DIST,1,42,48,48,4,3.00,114,480,288,1152,320,8,6,1,229.3,168,0,168,0,168,0,8,1,0,80000,4,1.20,0,0,144,,,CERTIFIED,123,229.6
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-03-1,144,288,PI_DIST,1,42,48,48,4,3.00,106,480,288,1152,320,8,6,2,239.6,168,0,168,0,168,0,11,1,0,80000,4,1.14,0,0,144,,,CERTIFIED,119,239.8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-03-2,144,288,PI_DIST,1,42,48,48,4,3.00,112,480,288,1152,448,8,6,2,253.9,168,0,168,0,168,0,9,1,0,80000,4,1.09,0,0,144,,,CERTIFIED,123,254.1
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-04-1,144,288,PI_DIST,1,42,48,48,4,3.00,103,480,288,1152,320,8,6,2,260.4,168,0,168,0,168,0,10,1,0,80000,4,1.17,0,0,144,,,CERTIFIED,115,262.9
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-04-2,144,288,PI_DIST,1,42,48,48,4,3.00,87,480,288,1152,320,8,6,2,268.7,168,0,168,0,168,0,10,1,0,80000,4,1.08,0,0,144,,,CERTIFIED,99,268.9
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-01-1,216,432,PI_DIST,1,42,72,72,4,3.00,93,720,432,1728,416,8,6,3,272.2,252,0,252,0,252,0,14,2,0,80000,4,1.10,0,0,216,,,CERTIFIED,110,273.2
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-01-2,216,432,PI_DIST,1,42,72,72,4,3.00,102,720,432,1728,480,8,6,2,276.8,252,0,252,0,252,0,12,2,0,80000,4,1.13,0,0,216,,,CERTIFIED,116,276.9
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-02-1,216,432,PI_DIST,1,42,72,72,4,3.00,130,720,432,1728,512,8,6,3,277.7,252,0,252,0,252,0,13,1,0,80000,4,1.13,0,0,216,,,CERTIFIED,146,277.8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-02-2,216,432,PI_DIST,1,42,72,72,4,3.00,125,720,432,1728,448,8,6,2,286.5,252,0,252,0,252,0,13,1,0,80000,4,1.13,0,0,216,,,CERTIFIED,140,286.7
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-03-1,216,432,PI_DIST,1,42,72,72,4,3.00,131,720,432,1728,448,8,6,2,296.9,252,0,252,0,252,0,13,2,0,80000,4,1.07,0,0,216,,,CERTIFIED,146,297.0
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-03-2,216,432,PI_DIST,1,42,72,72,4,3.00,145,720,432,1728,448,8,6,3,310.2,252,0,252,0,252,0,16,2,0,80000,4,1.12,0,0,216,,,CERTIFIED,164,316.3
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-04-1,216,432,PI_DIST,1,42,72,72,4,3.00,138,720,432,1728,352,8,6,2,321.0,252,0,252,0,252,0,12,1,0,80000,4,1.13,0,0,216,,,CERTIFIED,152,321.0
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-04-2,216,432,PI_DIST,1,42,72,72,4,3.00,75,720,432,1728,416,8,6,2,321.8,252,0,252,0,252,0,21,1,0,80000,4,1.03,0,0,216,,,CERTIFIED,98,320.6
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-1,288,576,PI_DIST,1,42,96,96,4,3.00,110,960,576,2304,352,8,6,3,321.9,336,0,336,0,336,0,18,2,0,80000,4,1.06,0,0,288,,,CERTIFIED,131,322.5
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-2,288,576,PI_DIST,1,42,96,96,4,3.00,133,960,576,2304,448,8,6,3,321.8,336,0,336,0,336,0,21,3,0,80000,4,1.07,0,0,288,,,CERTIFIED,157,321.9
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-02-1,288,576,PI_DIST,1,42,96,96,4,3.00,126,960,576,2304,384,8,6,3,322.0,336,0,336,0,336,0,18,2,0,80000,4,1.11,0,0,288,,,CERTIFIED,147,322.0
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-02-2,288,576,PI_DIST,1,42,96,96,4,3.00,159,960,576,2304,352,8,6,3,325.4,336,0,336,0,336,0,19,3,0,80000,4,1.06,0,0,288,,,CERTIFIED,181,325.5
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-03-1,288,576,PI_DIST,1,42,96,96,4,3.00,101,960,576,2304,416,8,6,3,354.3,336,0,336,0,336,0,18,2,0,80000,4,1.04,0,0,288,,,CERTIFIED,122,354.4
