family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0068-03-1,68,132,PI_DIST,1,42,23,23,4,2.96,107,224,136,528,0,8,6,64,82.3,27,129,,1,26,0,12,,,10000,1,,1,0,43,,,CERTIFIED,183,84.0,,,,PI,false,AUTO,68,GLOBAL,528,,CRYPTOMINISAT_XOR,8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-1,72,144,PI_DIST,1,42,24,24,4,3.00,19,240,144,576,0,8,6,32,102.2,84,84,,0,84,0,6,,,10000,1,,0,0,72,,,CERTIFIED,57,102.5,,,,PI,false,AUTO,72,GLOBAL,576,,CRYPTOMINISAT_XOR,8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-01-2,72,144,PI_DIST,1,42,24,24,4,3.00,18,240,144,576,0,8,6,16,108.7,84,84,,0,84,0,7,,,10000,1,,0,0,72,,,CERTIFIED,41,108.7,,,,PI,false,AUTO,72,GLOBAL,576,,CRYPTOMINISAT_XOR,8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-02-1,72,144,PI_DIST,1,42,24,24,4,3.00,14,240,144,576,0,8,6,17,113.4,84,84,,0,84,0,5,,,10000,1,,0,0,72,,,CERTIFIED,36,113.6,,,,PI,false,AUTO,72,GLOBAL,576,,CRYPTOMINISAT_XOR,9
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-04-1,72,144,PI_DIST,1,42,24,24,4,3.00,14,240,144,576,0,8,6,16,120.7,84,84,,0,84,0,6,,,10000,1,,0,0,72,,,CERTIFIED,36,120.9,,,,PI,false,AUTO,72,GLOBAL,576,,CRYPTOMINISAT_XOR,8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0072-04-2,72,144,PI_DIST,1,42,24,24,4,3.00,13,240,144,576,0,8,6,17,138.9,84,84,,0,84,0,6,,,10000,1,,0,0,72,,,CERTIFIED,36,138.9,,,,PI,false,AUTO,72,GLOBAL,576,,CRYPTOMINISAT_XOR,8
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-1,144,288,PI_DIST,1,42,48,48,4,3.00,33,480,288,1152,0,8,6,44,179.0,168,168,,0,168,0,16,,,10000,1,,0,0,144,,,CERTIFIED,93,179.1,,,,PI,false,AUTO,144,GLOBAL,1152,,CRYPTOMINISAT_XOR,21
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-01-2,144,288,PI_DIST,1,42,48,48,4,3.00,27,480,288,1152,0,8,6,34,180.0,168,168,,0,168,0,15,,,10000,1,,0,0,144,,,CERTIFIED,76,180.0,,,,PI,false,AUTO,144,GLOBAL,1152,,CRYPTOMINISAT_XOR,21
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-02-1,144,288,PI_DIST,1,42,48,48,4,3.00,28,480,288,1152,0,8,6,29,181.6,168,168,,0,168,0,14,,,10000,1,,0,0,144,,,CERTIFIED,71,182.1,,,,PI,false,AUTO,144,GLOBAL,1152,,CRYPTOMINISAT_XOR,21
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0144-02-2,144,288,PI_DIST,1,42,48,48,4,3.00,27,480,288,1152,0,8,6,42,223.3,168,168,,0,168,0,14,,,10000,1,,0,0,144,,,CERTIFIED,83,223.3,,,,PI,false,AUTO,144,GLOBAL,1152,,CRYPTOMINISAT_XOR,21
