family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-1,1000,1500,1000,1000,5,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-10,1000,1500,1000,1000,7,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-11,1000,1500,1000,1000,5,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-2,1000,1500,1000,1000,6,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-3,1000,1500,1000,1000,6,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-4,1000,1500,1000,1000,6,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-5,1000,1500,1000,1000,7,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-6,1000,1500,1000,1000,4,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-7,1000,1500,1000,1000,5,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-8,1000,1500,1000,1000,6,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-9,1000,1500,1000,1000,6,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-1,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-10,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-11,2000,3000,2000,2000,7,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-2,2000,3000,2000,2000,7,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-3,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-4,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-5,2000,3000,2000,2000,9,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-6,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-7,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-8,2000,3000,2000,2000,7,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-2000-9,2000,3000,2000,2000,8,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-3000-1,3000,4500,3000,3000,11,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-3000-10,3000,4500,3000,3000,11,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-3000-11,3000,4500,3000,3000,10,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-3000-2,3000,4500,3000,3000,11,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-3000-3,3000,4500,3000,3000,9,false,OK,traces,4096,3600,false
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-3000-4,3000,4500,3000,3000,9,false,OK,traces,4096,3600,false
