family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-1,1000,1500,PI_DIST,1,42,1,1000,1,1.00,7251,1000,2000,0,0,8,6,44,774.3,0,0,0,0,0,0,82,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,7377,773.6,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-10,1000,1500,PI_DIST,1,42,1,1000,1,1.00,3793,1000,2000,0,0,8,6,9,1204.7,0,0,0,0,0,0,19,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,3821,1203.8,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-11,1000,1500,PI_DIST,1,42,1,1000,1,1.00,3732,1000,2000,0,0,8,6,9,1631.7,0,0,0,0,0,0,33,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,3774,1630.9,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-2,1000,1500,PI_DIST,1,42,1,1000,1,1.00,4071,1000,2000,0,0,8,6,28,2089.7,0,0,0,0,0,0,16,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,4115,2091.1,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-3,1000,1500,PI_DIST,1,42,1,1000,1,1.00,7753,1000,2000,0,0,8,6,81,799.1,0,0,0,0,0,0,37,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,7871,798.2,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-4,1000,1500,PI_DIST,1,42,1,1000,1,1.00,4808,1000,2000,0,0,8,6,16,798.2,0,0,0,0,0,0,32,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,4856,798.2,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-5,1000,1500,PI_DIST,1,42,1,1000,1,1.00,4092,1000,2000,0,0,8,6,19,815.1,0,0,0,0,0,0,16,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,4127,815.1,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-6,1000,1500,PI_DIST,1,42,1,1000,1,1.00,4450,1000,2000,0,0,8,6,9,1048.1,0,0,0,0,0,0,17,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,4476,1048.1,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-7,1000,1500,PI_DIST,1,42,1,1000,1,1.00,4383,1000,2000,0,0,8,6,25,1048.1,0,0,0,0,0,0,15,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,4423,1048.1,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
rnd-3-reg,graphs/rnd-3-reg/rnd-3-reg-1000-8,1000,1500,PI_DIST,1,42,1,1000,1,1.00,3353,1000,2000,0,0,8,6,7,1048.1,0,0,0,0,0,0,15,0,0,200000,1,1.00,0,0,1000,,,CERTIFIED,3375,1048.1,1,2500,1000,PI_TO_ORIGINAL,true,AUTO,1000,GLOBAL,0,,CADICAL,
