family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-01-1,64,640,64,60,4,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-01-2,64,636,64,64,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-02-1,64,632,64,60,5,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-02-2,64,632,64,60,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-03-1,64,644,64,64,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-03-2,64,644,64,64,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-04-1,64,632,64,64,4,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-04-2,64,632,64,64,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-01-1,128,1312,128,128,4,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-01-2,128,1312,128,128,4,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-02-1,128,1312,128,128,4,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-02-2,128,1312,128,128,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-03-1,128,1316,128,128,3,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-03-2,128,1316,128,128,5,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-04-1,128,1328,128,128,5,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-04-2,128,1328,128,128,5,false,OK,traces,4096,3600,false
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-01-1,192,1984,192,192,4,false,OK,traces,4096,3600,false
