family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-01-1,64,640,WL_DIST,1,42,15,15,8,4.27,40,288,128,5264,2592,8,6,34,79.2,94,7,123,1,93,0,39,2,0,180000,1,1.00,1,0,60,,,CERTIFIED,113,85.8,15,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,5264,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-01-2,64,636,WL_DIST,1,42,15,15,8,4.27,0,288,128,5424,2176,8,6,10,91.9,112,0,112,0,112,0,21,1,0,180000,1,1.00,0,0,64,,,CERTIFIED,31,96.1,15,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,5424,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-02-1,64,632,WL_DIST,1,42,15,15,8,4.27,1,288,128,5104,2016,8,6,6,102.2,100,4,120,4,96,0,17,1,0,180000,1,1.00,4,0,60,,,CERTIFIED,24,106.8,15,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,5104,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-02-2,64,632,WL_DIST,1,42,15,15,8,4.27,0,288,128,5104,2272,8,6,5,112.9,93,7,124,1,92,0,23,1,0,180000,1,1.00,1,0,60,,,CERTIFIED,28,117.9,15,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,5104,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-03-1,64,644,WL_DIST,1,42,16,16,4,4.00,1,256,128,4432,2336,8,6,4,120.7,96,0,96,0,96,0,9,1,0,180000,1,1.00,0,0,64,,,CERTIFIED,14,122.3,16,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,4432,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-03-2,64,644,WL_DIST,1,42,16,16,4,4.00,0,256,128,4432,2176,8,6,3,123.2,96,0,96,0,96,0,9,1,0,180000,1,1.00,0,0,64,,,CERTIFIED,12,123.7,16,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,4432,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-04-1,64,632,WL_DIST,1,42,16,16,4,4.00,0,256,128,4192,2336,8,6,3,123.9,96,0,96,0,96,0,8,1,0,180000,1,1.00,0,0,64,,,CERTIFIED,11,124.1,16,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,4192,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0064-04-2,64,632,WL_DIST,1,42,16,16,4,4.00,1,256,128,4192,2176,8,6,3,125.0,96,0,96,0,96,0,8,0,0,180000,1,1.00,0,0,64,,,CERTIFIED,12,125.0,16,,,WL1_ORIGINAL,false,OFF,64,GLOBAL,4192,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-01-1,128,1312,WL_DIST,1,42,32,32,4,4.00,0,512,256,9344,2336,8,6,6,126.0,192,0,192,0,192,0,16,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,22,136.3,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9344,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-01-2,128,1312,WL_DIST,1,42,32,32,4,4.00,1,512,256,9344,2176,8,6,6,146.9,192,0,192,0,192,0,17,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,24,151.4,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9344,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-02-1,128,1312,WL_DIST,1,42,32,32,4,4.00,1,512,256,9344,2176,8,6,5,151.5,192,0,192,0,192,0,16,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,22,153.3,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9344,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-02-2,128,1312,WL_DIST,1,42,32,32,4,4.00,1,512,256,9344,2336,8,6,6,156.1,192,0,192,0,192,0,15,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,22,156.4,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9344,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-03-1,128,1316,WL_DIST,1,42,32,32,4,4.00,0,512,256,9424,2336,8,6,7,160.6,192,0,192,0,192,0,22,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,29,166.7,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9424,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-03-2,128,1316,WL_DIST,1,42,32,32,4,4.00,1,512,256,9424,2496,8,6,6,166.8,192,0,192,0,192,0,15,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,22,166.8,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9424,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-04-1,128,1328,WL_DIST,1,42,32,32,4,4.00,1,512,256,9664,2496,8,6,6,166.8,192,0,192,0,192,0,14,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,21,166.8,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9664,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0128-04-2,128,1328,WL_DIST,1,42,32,32,4,4.00,0,512,256,9664,2496,8,6,5,166.9,192,0,192,0,192,0,15,1,0,180000,1,1.00,0,0,128,,,CERTIFIED,20,166.9,32,,,WL1_ORIGINAL,false,OFF,128,GLOBAL,9664,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-01-1,192,1984,WL_DIST,1,42,48,48,4,4.00,0,768,384,14336,2496,8,6,16,171.5,288,0,288,0,288,0,20,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,36,175.6,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14336,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-01-2,192,1984,WL_DIST,1,42,48,48,4,4.00,0,768,384,14336,2176,8,6,8,180.2,288,0,288,0,288,0,19,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,27,180.5,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14336,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-02-1,192,1988,WL_DIST,1,42,48,48,4,4.00,1,768,384,14416,2176,8,6,9,180.8,288,0,288,0,288,0,24,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,34,183.0,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14416,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-02-2,192,1988,WL_DIST,1,42,48,48,4,4.00,1,768,384,14416,2496,8,6,10,203.1,288,0,288,0,288,0,20,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,31,215.0,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14416,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-03-1,192,1980,WL_DIST,1,42,48,48,4,4.00,1,768,384,14256,2336,8,6,8,217.9,288,0,288,0,288,0,19,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,28,220.9,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14256,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-03-2,192,1980,WL_DIST,1,42,48,48,4,4.00,1,768,384,14256,2336,8,6,8,220.9,288,0,288,0,288,0,21,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,30,220.9,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14256,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-04-1,192,1972,WL_DIST,1,42,48,48,4,4.00,1,768,384,14096,2336,8,6,8,220.9,288,0,288,0,288,0,20,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,29,220.9,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14096,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0192-04-2,192,1972,WL_DIST,1,42,48,48,4,4.00,1,768,384,14096,2336,8,6,8,221.0,288,0,288,0,288,0,20,1,0,180000,1,1.00,0,0,192,,,CERTIFIED,29,221.1,48,,,WL1_ORIGINAL,false,OFF,192,GLOBAL,14096,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-01-1,256,2656,WL_DIST,1,42,64,64,4,4.00,0,1024,512,19328,2336,8,6,11,221.7,384,0,384,0,384,0,30,2,0,180000,1,1.00,0,0,256,,,CERTIFIED,41,222.0,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19328,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-01-2,256,2656,WL_DIST,1,42,64,64,4,4.00,0,1024,512,19328,2496,8,6,10,222.1,384,0,384,0,384,0,25,2,0,180000,1,1.00,0,0,256,,,CERTIFIED,35,222.1,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19328,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-02-1,256,2652,WL_DIST,1,42,64,64,4,4.00,1,1024,512,19248,2496,8,6,10,222.2,384,0,384,0,384,0,32,2,0,180000,1,1.00,0,0,256,,,CERTIFIED,43,222.2,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19248,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-02-2,256,2652,WL_DIST,1,42,64,64,4,4.00,0,1024,512,19248,2496,8,6,10,222.2,384,0,384,0,384,0,24,1,0,180000,1,1.00,0,0,256,,,CERTIFIED,34,222.2,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19248,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-03-1,256,2660,WL_DIST,1,42,64,64,4,4.00,0,1024,512,19408,2496,8,6,10,222.2,384,0,384,0,384,0,26,1,0,180000,1,1.00,0,0,256,,,CERTIFIED,36,222.2,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19408,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-03-2,256,2660,WL_DIST,1,42,64,64,4,4.00,1,1024,512,19408,2496,8,6,13,246.3,384,0,384,0,384,0,26,1,0,180000,1,1.00,0,0,256,,,CERTIFIED,40,260.3,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19408,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-04-1,256,2652,WL_DIST,1,42,64,64,4,4.00,1,1024,512,19248,2496,8,6,10,274.3,384,0,384,0,384,0,26,2,0,180000,1,1.00,0,0,256,,,CERTIFIED,37,274.3,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19248,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0256-04-2,256,2652,WL_DIST,1,42,64,64,4,4.00,0,1024,512,19248,2496,8,6,10,274.3,384,0,384,0,384,0,33,2,0,180000,1,1.00,0,0,256,,,CERTIFIED,43,274.4,64,,,WL1_ORIGINAL,false,OFF,256,GLOBAL,19248,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-01-1,320,3324,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24240,2336,8,6,13,276.9,480,0,480,0,480,0,31,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,45,276.9,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24240,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-01-2,320,3324,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24240,2336,8,6,13,276.9,480,0,480,0,480,0,32,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,46,276.9,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24240,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-02-1,320,3332,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24400,2336,8,6,13,276.9,480,0,480,0,480,0,30,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,44,276.9,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24400,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-02-2,320,3332,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24400,2496,8,6,14,277.0,480,0,480,0,480,0,34,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,49,277.6,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24400,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-03-1,320,3316,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24080,2336,8,6,14,277.6,480,0,480,0,480,0,28,1,0,180000,1,1.00,0,0,320,,,CERTIFIED,43,277.6,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24080,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-03-2,320,3316,WL_DIST,1,42,80,80,4,4.00,2,1280,640,24080,2336,8,6,13,277.6,480,0,480,0,480,0,28,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,43,277.6,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24080,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-04-1,320,3340,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24560,2336,8,6,20,286.7,480,0,480,0,480,0,38,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,59,304.7,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24560,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0320-04-2,320,3340,WL_DIST,1,42,80,80,4,4.00,1,1280,640,24560,2496,8,6,13,320.7,480,0,480,0,480,0,33,2,0,180000,1,1.00,0,0,320,,,CERTIFIED,47,320.7,80,,,WL1_ORIGINAL,false,OFF,320,GLOBAL,24560,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-01-1,384,4008,WL_DIST,1,42,96,96,4,4.00,1,1536,768,29472,2496,8,6,16,321.3,576,0,576,0,576,0,48,3,0,180000,1,1.00,0,0,384,,,CERTIFIED,65,321.5,96,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,29472,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-01-2,384,4008,WL_DIST,1,42,96,96,4,4.00,1,1536,768,29472,2496,8,6,16,321.8,576,0,576,0,576,0,41,3,0,180000,1,1.00,0,0,384,,,CERTIFIED,58,322.1,96,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,29472,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-02-1,384,3964,WL_DIST,1,42,96,96,4,4.00,1,1536,768,28592,2496,8,6,16,322.2,576,0,576,0,576,0,47,3,0,180000,1,1.00,0,0,384,,,CERTIFIED,64,322.2,96,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,28592,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-02-2,384,3964,WL_DIST,1,42,96,96,4,4.00,1,1536,768,28592,2336,8,6,15,322.2,576,0,576,0,576,0,35,2,0,180000,1,1.00,0,0,384,,,CERTIFIED,51,322.2,96,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,28592,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-03-1,384,4004,WL_DIST,1,42,95,95,8,4.04,1,1568,768,30304,2496,8,6,16,322.3,580,4,600,4,576,0,56,3,0,180000,1,1.00,4,0,380,,,CERTIFIED,73,322.3,95,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,30304,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-03-2,384,4004,WL_DIST,1,42,95,95,8,4.04,1,1568,768,30304,2496,8,6,16,322.5,580,4,600,4,576,0,71,6,0,180000,1,1.00,4,0,380,,,CERTIFIED,88,322.5,95,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,30304,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-04-1,384,4000,WL_DIST,1,42,96,96,4,4.00,1,1536,768,29312,2496,8,6,15,322.5,576,0,576,0,576,0,41,2,0,180000,1,1.00,0,0,384,,,CERTIFIED,57,322.5,96,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,29312,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0384-04-2,384,4000,WL_DIST,1,42,96,96,4,4.00,1,1536,768,29312,2496,8,6,21,368.2,576,0,576,0,576,0,41,3,0,180000,1,1.00,0,0,384,,,CERTIFIED,63,373.2,96,,,WL1_ORIGINAL,false,OFF,384,GLOBAL,29312,
cfi-rigid-s2,graphs/cfi-rigid-s2/cfi-rigid-s2-0448-01-1,448,4676,WL_DIST,1,42,112,112,4,4.00,1,1792,896,34384,2496,8,6,19,373.6,672,0,672,0,672,0,50,4,0,180000,1,1.00,0,0,448,,,CERTIFIED,70,373.6,112,,,WL1_ORIGINAL,false,OFF,448,GLOBAL,34384,
