family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0100_a.dmc,30,60,WL_DIST,1,42,30,30,1,1.00,44,30,60,0,0,8,6,23,69.0,0,0,0,0,0,0,21,0,0,200000,1,1.00,0,0,30,,,CERTIFIED,88,71.4,,,,PI,false,OFF,30,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0100_b.dmc,30,60,WL_DIST,1,42,30,30,1,1.00,1,30,60,0,0,8,6,1,71.5,0,0,0,0,0,0,4,0,0,200000,1,1.00,0,0,30,,,CERTIFIED,6,71.5,,,,PI,false,OFF,30,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0200_a.dmc,60,120,WL_DIST,1,42,60,60,1,1.00,2,60,120,0,0,8,6,3,74.1,0,0,0,0,0,0,5,0,0,200000,1,1.00,0,0,60,,,CERTIFIED,10,74.5,,,,PI,false,OFF,60,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0200_b.dmc,60,120,WL_DIST,1,42,60,60,1,1.00,1,60,120,0,0,8,6,2,76.7,0,0,0,0,0,0,5,0,0,200000,1,1.00,0,0,60,,,CERTIFIED,8,76.7,,,,PI,false,OFF,60,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0300_a.dmc,90,180,WL_DIST,1,42,90,90,1,1.00,2,90,180,0,0,8,6,2,76.8,0,0,0,0,0,0,4,0,0,200000,1,1.00,0,0,90,,,CERTIFIED,8,76.8,,,,PI,false,OFF,90,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0300_b.dmc,90,180,WL_DIST,1,42,90,90,1,1.00,2,90,180,0,0,8,6,3,78.9,0,0,0,0,0,0,5,0,0,200000,1,1.00,0,0,90,,,CERTIFIED,10,78.9,,,,PI,false,OFF,90,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0400_a.dmc,120,240,WL_DIST,1,42,120,120,1,1.00,1,120,240,0,0,8,6,4,80.9,0,0,0,0,0,0,4,0,0,200000,1,1.00,0,0,120,,,CERTIFIED,9,81.3,,,,PI,false,OFF,120,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0400_b.dmc,120,240,WL_DIST,1,42,120,120,1,1.00,1,120,240,0,0,8,6,2,81.3,0,0,0,0,0,0,5,0,0,200000,1,1.00,0,0,120,,,CERTIFIED,8,83.6,,,,PI,false,OFF,120,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0500_a.dmc,150,300,WL_DIST,1,42,150,150,1,1.00,2,150,300,0,0,8,6,4,85.6,0,0,0,0,0,0,7,0,0,200000,1,1.00,0,0,150,,,CERTIFIED,13,86.2,,,,PI,false,OFF,150,GLOBAL,0,,CADICAL,
sat_cfi_dim,graphs/sat_cfi_dim/sat_cfi_base_0500_b.dmc,150,300,WL_DIST,1,42,150,150,1,1.00,1,150,300,0,0,8,6,3,88.6,0,0,0,0,0,0,7,0,0,200000,1,1.00,0,0,150,,,CERTIFIED,11,87.6,,,,PI,false,OFF,150,GLOBAL,0,,CADICAL,
