family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
sts,graphs/sts/sts-13,26,195,26,2,2,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-15,35,315,35,2,5,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-19,57,684,57,21,3,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-21,70,945,70,2,4,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-25,100,1650,100,36,4,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-27,117,2106,117,3,4,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-31,155,3255,155,55,6,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-33,176,3960,176,2,6,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-37,222,5661,222,78,10,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-39,247,6669,247,2,9,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-43,301,9030,301,105,15,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-45,330,10395,330,4,12,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-49,392,13524,392,136,23,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-51,425,15300,425,2,18,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-55,495,19305,495,171,35,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-57,532,21546,532,2,24,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-61,610,26535,610,210,51,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-63,651,29295,651,4,36,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-67,737,35376,737,253,74,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-69,782,38709,782,2,51,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-7,7,21,7,1,3,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-73,876,45990,876,300,104,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-75,925,49950,925,3,69,false,OK,traces,4096,3600,false
sts,graphs/sts/sts-9,12,54,12,1,5,false,OK,traces,4096,3600,false
