family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
sts,graphs/sts/sts-13,26,195,PI_DIST,1,42,1,2,13,13.00,336,338,52,13182,0,8,6,45,127.2,1,311,0,1,0,0,41,2,2,200000,1,1.00,1,0,2,,,CERTIFIED,422,126.7,1,7,2,PI_TO_ORIGINAL,true,AUTO,26,GLOBAL,13182,,CADICAL,
sts,graphs/sts/sts-15,35,315,PI_DIST,1,42,1,2,30,17.50,464,925,70,106650,200,8,6,74,186.6,2,888,0,2,0,0,59,2,2,200000,1,1.00,2,0,2,,,CERTIFIED,597,185.5,1,9,2,PI_TO_ORIGINAL,true,AUTO,35,GLOBAL,106650,,CADICAL,
sts,graphs/sts/sts-19,57,684,PI_DIST,1,42,1,21,3,2.71,1778,165,114,2322,780,8,6,4,236.6,1,107,0,1,0,0,10,0,0,200000,1,1.00,1,0,21,,,CERTIFIED,1792,235.5,1,247,21,PI_TO_ORIGINAL,true,AUTO,57,GLOBAL,2322,,CADICAL,
sts,graphs/sts/sts-21,70,945,PI_DIST,1,42,1,2,63,35.00,2574,4018,140,95256,588,8,6,240,333.3,2,3946,0,2,0,0,311,74,74,200000,1,1.00,2,0,2,,,CERTIFIED,3125,332.1,1,11,2,PI_TO_ORIGINAL,true,AUTO,70,GLOBAL,95256,,CADICAL,
sts,graphs/sts/sts-25,100,1650,PI_DIST,1,42,1,36,3,2.78,1896,292,200,6552,912,8,6,13,477.5,1,191,0,1,0,0,21,0,0,200000,1,1.00,1,0,36,,,CERTIFIED,1930,476.3,1,583,36,PI_TO_ORIGINAL,true,AUTO,100,GLOBAL,6552,,CADICAL,
sts,graphs/sts/sts-27,117,2106,PI_DIST,1,42,1,3,81,39.00,1792,7371,234,293058,1152,8,6,399,838.3,2,7252,0,2,0,0,558,55,55,200000,1,1.00,2,0,3,,,CERTIFIED,2749,838.3,1,13,3,PI_TO_ORIGINAL,true,AUTO,117,GLOBAL,293058,,CADICAL,
sts,graphs/sts/sts-31,155,3255,PI_DIST,1,42,1,55,3,2.82,6405,455,310,14130,900,8,6,18,1032.6,1,299,0,1,0,0,23,0,0,200000,1,1.00,1,0,55,,,CERTIFIED,6446,1031.4,1,1137,55,PI_TO_ORIGINAL,true,AUTO,155,GLOBAL,14130,,CADICAL,
sts,graphs/sts/sts-33,176,3960,PI_DIST,1,42,1,2,165,88.00,6460,,,,,,,,,4,27166,0,4,0,0,2816,1449,1286,200000,1,,4,0,2,,,CERTIFIED,9276,1634.6,1,16,2,PI_TO_ORIGINAL,true,AUTO,176,PER_QUERY,627990,5490,CADICAL,
sts,graphs/sts/sts-37,222,5661,PI_DIST,1,42,1,78,3,2.85,18638,654,444,26028,744,8,6,29,1890.8,1,431,0,1,0,0,44,1,1,200000,1,1.00,1,0,78,,,CERTIFIED,18711,1889.7,1,1962,78,PI_TO_ORIGINAL,true,AUTO,222,GLOBAL,26028,,CADICAL,
sts,graphs/sts/sts-39,247,6669,PI_DIST,1,42,1,2,234,123.50,19853,,,,,,,,,2,54520,0,2,0,0,1381,39,39,200000,1,,2,0,14,,,CERTIFIED,21234,2781.6,1,19,2,PI_TO_ORIGINAL,true,AUTO,247,PER_QUERY,1508832,9828,CADICAL,
sts,graphs/sts/sts-43,301,9030,PI_DIST,1,42,1,105,3,2.87,45648,889,602,43218,444,8,6,35,2781.6,1,587,0,1,0,0,44,1,1,200000,1,1.00,1,0,105,,,CERTIFIED,45727,2781.6,1,3106,105,PI_TO_ORIGINAL,true,AUTO,301,GLOBAL,43218,,CADICAL,
sts,graphs/sts/sts-45,330,10395,PI_DIST,1,42,1,4,180,82.50,66442,,,,,,,,,10,42410,0,10,0,0,10252,2068,1620,200000,1,,10,0,4,,,CERTIFIED,76694,3449.2,1,47,4,PI_TO_ORIGINAL,true,AUTO,330,PER_QUERY,1403325,16002,CADICAL,
sts,graphs/sts/sts-49,392,13524,PI_DIST,1,42,1,136,3,2.88,126469,1160,784,66672,0,8,6,69,3449.2,1,767,0,1,0,0,95,3,3,200000,1,1.00,1,0,136,,,CERTIFIED,126633,3449.2,1,4635,136,PI_TO_ORIGINAL,true,AUTO,392,GLOBAL,66672,,CADICAL,
sts,graphs/sts/sts-51,,,PI_DIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR: ExecutionException: java.lang.OutOfMemoryError,,,,,,,,,,,,,,
sts,graphs/sts/sts-55,,,PI_DIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR: ExecutionException: java.lang.OutOfMemoryError,,,,,,,,,,,,,,
sts,graphs/sts/sts-57,,,PI_DIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR: ExecutionException: java.lang.OutOfMemoryError,,,,,,,,,,,,,,
sts,graphs/sts/sts-61,610,26535,WL_DIST,1,42,1,1,610,610.00,24,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,24,157.4,1,,,WL1_ORIGINAL,false,OFF,610,NONE,16186350,11731776,CADICAL,
sts,graphs/sts/sts-63,651,29295,WL_DIST,1,42,1,1,651,651.00,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,2,192.8,1,,,WL1_ORIGINAL,false,OFF,651,NONE,19071045,13288050,CADICAL,
sts,graphs/sts/sts-67,737,35376,WL_DIST,1,42,1,1,737,737.00,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,2,218.6,1,,,WL1_ORIGINAL,false,OFF,737,NONE,26072112,19413120,CADICAL,
sts,graphs/sts/sts-69,782,38709,WL_DIST,1,42,1,1,782,782.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,238.7,1,,,WL1_ORIGINAL,false,OFF,782,NONE,30270438,21714660,CADICAL,
sts,graphs/sts/sts-7,7,21,WL_DIST,1,42,1,1,7,7.00,0,49,14,147,588,8,6,25,241.7,3,39,0,3,0,0,22,2,1,200000,1,1.00,3,0,1,,,CERTIFIED,47,240.8,1,,,WL1_ORIGINAL,false,OFF,7,GLOBAL,147,,CADICAL,
