family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0016-04-1,16,76,16,5,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0016-04-2,16,76,16,5,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-01-1,20,118,20,7,3,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-01-2,20,118,20,7,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-02-1,20,118,20,10,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-02-2,20,118,20,10,3,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-03-1,20,118,20,10,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-03-2,20,118,20,10,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0040-04-1,40,264,40,10,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0040-04-2,40,264,40,10,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0044-01-1,44,310,44,32,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0044-01-2,44,310,44,32,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-01-1,48,380,48,48,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-01-2,48,380,48,48,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-02-1,48,368,48,48,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-02-2,48,368,48,48,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-03-1,48,372,48,48,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-03-2,48,372,48,48,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-04-1,48,372,48,48,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-04-2,48,372,48,48,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-01-1,72,572,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-01-2,72,572,72,72,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-02-1,72,564,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-02-2,72,564,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-03-1,72,556,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-03-2,72,556,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-04-1,72,568,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0072-04-2,72,568,72,72,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-01-1,96,760,96,96,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-01-2,96,760,96,96,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-02-1,96,788,96,96,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-02-2,96,788,96,96,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-03-1,96,788,96,96,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-03-2,96,788,96,96,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-04-1,96,764,96,96,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0096-04-2,96,764,96,96,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0116-02-1,116,922,116,66,5,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0116-02-2,116,922,116,66,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0120-01-1,120,964,120,120,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0120-01-2,120,964,120,120,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0120-03-1,120,964,120,120,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0120-03-2,120,964,120,120,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0120-04-1,120,980,120,120,4,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0120-04-2,120,980,120,120,6,false,OK,traces,4096,3600,false
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0144-01-1,144,1148,144,144,5,false,OK,traces,4096,3600,false
