family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0016-04-1,16,76,WL_DIST,1,42,2,2,8,8.00,49,128,32,1888,4224,8,6,28,72.5,15,59,38,5,10,0,29,2,0,180000,2,1.03,5,0,5,,,CERTIFIED,106,77.6,2,,,WL1_ORIGINAL,false,OFF,16,GLOBAL,1888,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0016-04-2,16,76,WL_DIST,1,42,2,2,8,8.00,0,128,32,1888,4224,8,6,6,79.6,10,61,41,3,7,0,12,1,0,180000,2,1.00,3,0,5,,,CERTIFIED,18,81.6,2,,,WL1_ORIGINAL,false,OFF,16,GLOBAL,1888,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-01-1,20,118,WL_DIST,1,42,2,2,16,10.00,0,272,40,8728,10976,8,6,16,85.6,20,47,185,3,17,0,29,1,0,180000,2,1.06,3,0,7,,,CERTIFIED,45,93.4,2,,,WL1_ORIGINAL,false,OFF,20,GLOBAL,8728,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-01-2,20,118,WL_DIST,1,42,2,2,16,10.00,0,272,40,8728,10976,8,6,8,98.4,12,47,193,3,9,0,37,1,0,180000,2,1.00,3,0,7,,,CERTIFIED,45,115.0,2,,,WL1_ORIGINAL,false,OFF,20,GLOBAL,8728,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-02-1,20,118,WL_DIST,1,42,5,5,4,4.00,0,80,40,632,1088,8,6,1,115.1,6,19,35,1,5,0,3,0,0,180000,2,1.00,1,0,10,,,CERTIFIED,4,117.1,5,,,WL1_ORIGINAL,false,OFF,20,GLOBAL,632,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-02-2,20,118,WL_DIST,1,42,5,5,4,4.00,0,80,40,632,1120,8,6,1,117.1,7,19,34,1,6,0,5,0,0,180000,2,1.14,1,0,10,,,CERTIFIED,6,117.3,5,,,WL1_ORIGINAL,false,OFF,20,GLOBAL,632,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-03-1,20,118,WL_DIST,1,42,5,5,4,4.00,0,80,40,632,960,8,6,2,120.2,6,19,35,1,5,0,4,0,0,180000,2,1.14,1,0,10,,,CERTIFIED,6,120.4,5,,,WL1_ORIGINAL,false,OFF,20,GLOBAL,632,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0020-03-2,20,118,WL_DIST,1,42,5,5,4,4.00,0,80,40,632,992,8,6,2,124.6,7,19,34,1,6,0,5,0,0,180000,2,1.00,1,0,10,,,CERTIFIED,7,126.6,5,,,WL1_ORIGINAL,false,OFF,20,GLOBAL,632,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0040-04-1,40,264,WL_DIST,1,42,10,10,4,4.00,0,160,80,1728,1312,8,6,2,129.7,3,117,0,3,0,0,12,0,0,180000,2,1.05,3,0,10,,,CERTIFIED,14,132.3,10,,,WL1_ORIGINAL,false,OFF,40,GLOBAL,1728,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0040-04-2,40,264,WL_DIST,1,42,10,10,4,4.00,0,160,80,1728,1504,8,6,2,134.3,3,117,0,3,0,0,9,1,0,180000,2,1.00,3,0,10,,,CERTIFIED,11,137.8,10,,,WL1_ORIGINAL,false,OFF,40,GLOBAL,1728,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0044-01-1,44,310,WL_DIST,1,42,11,11,4,4.00,0,176,88,2072,1472,8,6,6,142.3,38,22,72,2,36,0,6,1,0,180000,2,1.00,2,0,32,,,CERTIFIED,12,143.5,11,,,WL1_ORIGINAL,false,OFF,44,GLOBAL,2072,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0044-01-2,44,310,WL_DIST,1,42,11,11,4,4.00,0,176,88,2072,1728,8,6,2,143.5,38,23,71,1,37,0,9,1,0,180000,2,1.00,1,0,32,,,CERTIFIED,11,143.5,11,,,WL1_ORIGINAL,false,OFF,44,GLOBAL,2072,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-01-1,48,380,WL_DIST,1,42,12,12,4,4.00,1,192,96,2608,2112,8,6,3,143.6,72,0,72,0,72,0,6,1,0,180000,2,1.09,0,0,48,,,CERTIFIED,10,143.7,12,,,WL1_ORIGINAL,false,OFF,48,GLOBAL,2608,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-01-2,48,380,WL_DIST,1,42,12,12,4,4.00,0,192,96,2608,1824,8,6,2,143.7,72,0,72,0,72,0,8,1,0,180000,2,1.00,0,0,48,,,CERTIFIED,10,143.9,12,,,WL1_ORIGINAL,false,OFF,48,GLOBAL,2608,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-02-1,48,368,WL_DIST,1,42,12,12,4,4.00,0,192,96,2464,1920,8,6,2,143.9,72,0,72,0,72,0,5,1,0,180000,2,1.00,0,0,48,,,CERTIFIED,7,143.9,12,,,WL1_ORIGINAL,false,OFF,48,GLOBAL,2464,
cfi-rigid-t2,graphs/cfi-rigid-t2/cfi-rigid-t2-0048-02-2,48,368,WL_DIST,1,42,12,12,4,4.00,0,192,96,2464,1568,8,6,2,145.9,72,0,72,0,72,0,11,1,0,180000,2,1.00,0,0,48,,,CERTIFIED,13,146.1,12,,,WL1_ORIGINAL,false,OFF,48,GLOBAL,2464,
