family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
triang,graphs/triang/triang-10,45,360,45,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-11,55,495,55,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-12,66,660,66,1,4,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-13,78,858,78,1,6,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-14,91,1092,91,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-15,105,1365,105,1,4,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-16,120,1680,120,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-17,136,2040,136,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-18,153,2448,153,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-19,171,2907,171,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-20,190,3420,190,1,7,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-21,210,3990,210,1,5,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-22,231,4620,231,1,7,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-23,253,5313,253,1,6,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-24,276,6072,276,1,8,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-25,300,6900,300,1,7,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-26,325,7800,325,1,6,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-27,351,8775,351,1,8,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-28,378,9828,378,1,7,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-29,406,10962,406,1,9,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-30,435,12180,435,1,8,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-4,6,12,6,1,6,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-5,10,30,10,1,6,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-6,15,60,15,1,6,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-7,21,105,21,1,4,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-8,28,168,28,1,4,false,OK,traces,4096,3600,false
triang,graphs/triang/triang-9,36,252,36,1,4,false,OK,traces,4096,3600,false
