family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
triang,graphs/triang/triang-10,45,360,WL_DIST,1,42,1,1,45,45.00,14,2025,90,16200,0,8,6,123,93.7,5,1975,0,5,0,0,94,4,1,200000,1,1.00,5,0,1,,,CERTIFIED,231,106.8,1,,,WL1_ORIGINAL,false,OFF,45,GLOBAL,16200,,CADICAL,
triang,graphs/triang/triang-11,55,495,WL_DIST,1,42,1,1,55,55.00,0,3025,110,27225,0,8,6,110,120.0,5,2965,0,5,0,0,124,3,2,200000,1,1.00,5,0,1,,,CERTIFIED,234,125.6,1,,,WL1_ORIGINAL,false,OFF,55,GLOBAL,27225,,CADICAL,
triang,graphs/triang/triang-12,66,660,WL_DIST,1,42,1,1,66,66.00,1,4356,132,43560,0,8,6,146,156.0,6,4284,0,6,0,0,204,5,2,200000,1,1.00,6,0,1,,,CERTIFIED,351,187.9,1,,,WL1_ORIGINAL,false,OFF,66,GLOBAL,43560,,CADICAL,
triang,graphs/triang/triang-13,78,858,WL_DIST,1,42,1,1,78,78.00,1,6084,156,66924,0,8,6,238,219.2,6,6000,0,6,0,0,351,7,2,200000,1,1.00,6,0,1,,,CERTIFIED,590,242.3,1,,,WL1_ORIGINAL,false,OFF,78,GLOBAL,66924,,CADICAL,
triang,graphs/triang/triang-14,91,1092,WL_DIST,1,42,1,1,91,91.00,1,8281,182,99372,0,8,6,370,249.0,7,8183,0,7,0,0,466,12,3,200000,1,1.00,7,0,1,,,CERTIFIED,837,252.8,1,,,WL1_ORIGINAL,false,OFF,91,GLOBAL,99372,,CADICAL,
triang,graphs/triang/triang-15,105,1365,WL_DIST,1,42,1,1,105,105.00,0,11025,210,143325,0,8,6,539,299.0,7,10913,0,7,0,0,711,18,4,200000,1,1.00,7,0,1,,,CERTIFIED,1250,307.4,1,,,WL1_ORIGINAL,false,OFF,105,GLOBAL,143325,,CADICAL,
triang,graphs/triang/triang-16,120,1680,WL_DIST,1,42,1,1,120,120.00,1,14400,240,201600,0,8,6,802,387.7,8,14272,0,8,0,0,991,24,5,200000,1,1.00,8,0,1,,,CERTIFIED,1794,419.6,1,,,WL1_ORIGINAL,false,OFF,120,GLOBAL,201600,,CADICAL,
triang,graphs/triang/triang-17,136,2040,WL_DIST,1,42,1,1,136,136.00,0,,,,,,,,,8,18352,0,8,0,0,5853,816,710,200000,1,,8,0,1,,,CERTIFIED,5853,435.6,1,,,WL1_ORIGINAL,false,OFF,136,PER_QUERY,277440,257175,CADICAL,
triang,graphs/triang/triang-18,153,2448,WL_DIST,1,42,1,1,153,153.00,0,,,,,,,,,9,23247,0,9,0,0,7742,1038,752,200000,1,,9,0,1,,,CERTIFIED,7742,556.4,1,,,WL1_ORIGINAL,false,OFF,153,PER_QUERY,374544,348032,CADICAL,
triang,graphs/triang/triang-19,171,2907,WL_DIST,1,42,1,1,171,171.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,171,NONE,497097,305762,CADICAL,
triang,graphs/triang/triang-20,190,3420,WL_DIST,1,42,1,1,190,190.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,190,NONE,649800,408240,CADICAL,
triang,graphs/triang/triang-21,210,3990,WL_DIST,1,42,1,1,210,210.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,210,NONE,837900,536807,CADICAL,
triang,graphs/triang/triang-22,231,4620,WL_DIST,1,42,1,1,231,231.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,231,NONE,1067220,696200,CADICAL,
triang,graphs/triang/triang-23,253,5313,WL_DIST,1,42,1,1,253,253.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,253,NONE,1344189,891702,CADICAL,
triang,graphs/triang/triang-24,276,6072,WL_DIST,1,42,1,1,276,276.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,276,NONE,1675872,1129172,CADICAL,
triang,graphs/triang/triang-25,300,6900,WL_DIST,1,42,1,1,300,300.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,556.4,1,,,WL1_ORIGINAL,false,OFF,300,NONE,2070000,1415075,CADICAL,
triang,graphs/triang/triang-26,325,7800,WL_DIST,1,42,1,1,325,325.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,325,NONE,2535000,1756512,CADICAL,
triang,graphs/triang/triang-27,351,8775,WL_DIST,1,42,1,1,351,351.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,351,NONE,3080025,2161250,CADICAL,
triang,graphs/triang/triang-28,378,9828,WL_DIST,1,42,1,1,378,378.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,556.4,1,,,WL1_ORIGINAL,false,OFF,378,NONE,3714984,2637752,CADICAL,
triang,graphs/triang/triang-29,406,10962,WL_DIST,1,42,1,1,406,406.00,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,1,556.4,1,,,WL1_ORIGINAL,false,OFF,406,NONE,4450572,3195207,CADICAL,
triang,graphs/triang/triang-30,435,12180,WL_DIST,1,42,1,1,435,435.00,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,SKIPPED_TOO_LARGE,0,556.4,1,,,WL1_ORIGINAL,false,OFF,435,NONE,5298300,3843560,CADICAL,
triang,graphs/triang/triang-4,6,12,WL_DIST,1,42,1,1,6,6.00,0,36,12,144,648,8,6,1,556.4,2,28,0,2,0,0,4,0,0,200000,1,1.00,2,0,1,,,CERTIFIED,5,556.4,1,,,WL1_ORIGINAL,false,OFF,6,GLOBAL,144,,CADICAL,
triang,graphs/triang/triang-5,10,30,WL_DIST,1,42,1,1,10,10.00,1,100,20,1200,4320,8,6,3,556.4,2,88,0,2,0,0,8,0,0,200000,1,1.00,2,0,1,,,CERTIFIED,12,556.4,1,,,WL1_ORIGINAL,false,OFF,10,GLOBAL,1200,,CADICAL,
triang,graphs/triang/triang-6,15,60,WL_DIST,1,42,1,1,15,15.00,0,225,30,6300,0,8,6,6,556.4,3,207,0,3,0,0,10,1,0,200000,1,1.00,3,0,1,,,CERTIFIED,16,556.4,1,,,WL1_ORIGINAL,false,OFF,15,GLOBAL,6300,,CADICAL,
triang,graphs/triang/triang-7,21,105,WL_DIST,1,42,1,1,21,21.00,0,441,42,24255,0,8,6,12,556.4,3,417,0,3,0,0,17,0,0,200000,1,1.00,3,0,1,,,CERTIFIED,29,556.4,1,,,WL1_ORIGINAL,false,OFF,21,GLOBAL,24255,,CADICAL,
triang,graphs/triang/triang-8,28,168,WL_DIST,1,42,1,1,28,28.00,0,784,56,75264,0,8,6,30,556.4,4,752,0,4,0,0,39,1,0,200000,1,1.00,4,0,1,,,CERTIFIED,69,556.4,1,,,WL1_ORIGINAL,false,OFF,28,GLOBAL,75264,,CADICAL,
triang,graphs/triang/triang-9,36,252,WL_DIST,1,42,1,1,36,36.00,0,1296,72,9072,0,8,6,23,556.4,4,1256,0,4,0,0,33,1,0,200000,1,1.00,4,0,1,,,CERTIFIED,56,556.4,1,,,WL1_ORIGINAL,false,OFF,36,GLOBAL,9072,,CADICAL,
