family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-01-1,180,432,180,44,4,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-01-2,180,432,180,60,5,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-02-1,180,432,180,44,3,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-02-2,180,432,180,60,5,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-03-1,180,432,180,42,3,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-03-2,180,432,180,60,4,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-04-1,180,432,180,44,5,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-04-2,180,432,180,60,4,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-01-1,360,864,360,88,4,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-01-2,360,864,360,120,3,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-02-1,360,864,360,88,3,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-02-2,360,864,360,120,5,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-03-1,360,864,360,88,4,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-03-2,360,864,360,120,4,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-04-1,360,864,360,88,5,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-04-2,360,864,360,120,6,false,OK,traces,4096,3600,false
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0540-01-1,540,1296,540,132,8,false,OK,traces,4096,3600,false
