family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-01-1,180,432,PI_DIST,1,42,2,40,9,4.50,315,972,360,5184,3852,8,6,48,131.7,9,644,139,4,5,0,75,2,0,180000,4,1.27,4,0,44,,,CERTIFIED,438,163.6
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-01-2,180,432,PI_DIST,1,42,2,37,9,4.86,168,1080,360,5832,3072,8,6,13,202.7,31,359,510,1,30,0,60,1,0,180000,4,1.19,1,0,60,,,CERTIFIED,241,224.1
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-02-1,180,432,PI_DIST,1,42,2,42,9,4.29,148,900,360,4752,2904,8,6,6,235.0,4,646,70,2,2,0,63,1,0,180000,4,1.23,2,0,44,,,CERTIFIED,217,242.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-02-2,180,432,PI_DIST,1,42,2,42,9,4.29,138,972,360,5184,4536,8,6,6,246.0,27,359,406,1,26,0,50,1,0,180000,4,1.04,1,0,60,,,CERTIFIED,194,247.7
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-03-1,180,432,PI_DIST,1,42,2,35,18,5.14,140,1278,360,7020,3912,8,6,12,258.9,13,736,349,2,11,0,65,1,0,180000,4,1.24,2,0,42,,,CERTIFIED,217,272.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-03-2,180,432,PI_DIST,1,42,2,35,18,5.14,142,1278,360,7020,3804,8,6,10,287.0,48,356,694,4,44,0,25,1,0,180000,4,1.06,4,0,60,,,CERTIFIED,177,287.1
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-04-1,180,432,PI_DIST,1,42,2,41,9,4.39,138,936,360,4968,3876,8,6,5,292.9,7,646,103,2,5,0,16,0,0,180000,4,1.22,2,0,44,,,CERTIFIED,159,293.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0180-04-2,180,432,PI_DIST,1,42,2,44,9,4.09,146,900,360,4752,4476,8,6,5,296.7,23,358,339,2,21,0,13,1,0,180000,4,1.13,2,0,60,,,CERTIFIED,164,296.7
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-01-1,360,864,PI_DIST,1,42,2,56,9,6.43,565,2808,720,15552,3552,8,6,14,329.7,41,1288,1119,8,33,0,70,6,3,180000,4,1.02,8,0,88,,,CERTIFIED,649,344.6
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-01-2,360,864,PI_DIST,1,42,2,56,9,6.43,544,2808,720,15552,3552,8,6,24,344.8,102,716,1630,4,98,0,100,6,2,180000,4,1.05,4,0,120,,,CERTIFIED,668,345.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-02-1,360,864,PI_DIST,1,42,2,56,9,6.43,268,2808,720,15552,3552,8,6,14,348.1,40,1288,1120,8,32,0,70,8,3,180000,4,1.03,8,0,88,,,CERTIFIED,352,350.5
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-02-2,360,864,PI_DIST,1,42,2,56,9,6.43,102,2808,720,15552,3552,8,6,14,352.5,104,716,1628,4,100,0,117,5,3,180000,4,1.03,4,0,120,,,CERTIFIED,233,361.8
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-03-1,360,864,PI_DIST,1,42,2,56,9,6.43,97,2808,720,15552,3552,8,6,15,384.2,45,1288,1115,8,37,0,71,4,3,180000,4,1.04,8,0,88,,,CERTIFIED,183,384.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-03-2,360,864,PI_DIST,1,42,2,56,9,6.43,99,2808,720,15552,3552,8,6,14,384.0,112,716,1620,4,108,0,99,5,2,180000,4,1.03,4,0,120,,,CERTIFIED,212,384.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-04-1,360,864,PI_DIST,1,42,2,56,9,6.43,99,2808,720,15552,3552,8,6,13,384.0,44,1288,1116,8,36,0,58,5,2,180000,4,1.01,8,0,88,,,CERTIFIED,170,384.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0360-04-2,360,864,PI_DIST,1,42,2,56,9,6.43,105,2808,720,15552,3552,8,6,15,420.9,107,716,1625,4,103,0,89,5,2,180000,4,1.02,4,0,120,,,CERTIFIED,209,429.9
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0540-01-1,540,1296,PI_DIST,1,42,2,84,9,6.43,209,4212,1080,23328,3552,8,6,41,434.8,62,1936,1674,8,54,0,192,8,4,180000,4,1.08,8,0,132,,,CERTIFIED,442,440.0
cfi-rigid-z3,graphs/cfi-rigid-z3/cfi-rigid-z3-0540-01-2,540,1296,PI_DIST,1,42,2,84,9,6.43,226,4212,1080,23328,3552,8,6,21,439.9,149,1076,2447,4,145,0,217,13,4,180000,4,1.04,4,0,180,,,CERTIFIED,464,439.9
